player,team,gameInfo,game_abbr,salary,minutes,total,spread_home,game_date,points_Minutes,points_P/M,points_Possessions,points_Pts,points_FG2M,points_FG2A,points_2pt FG%,points_FG3M,points_FG3A,points_3pt FG%,points_Non-Heave 3pt FG%,points_FT Pts,points_AST2 Pts,points_UAST2 2s Pts,points_AST3 Pts,points_UAST3 Pts,points_2pt AST%,points_Non Putback 2pt AST%,points_3pt AST%,points_3PAr,points_Shot Quality,points_eFG%,points_TS%,points_PUT,points_FG2AB,points_% of FG2AB,points_FG3AB,points_% of FG3AB,points_Usage,assists_Minutes,assists_Assists,assists_Assist Pts,assists_2pt,assists_3pt,assists_At Rim,assists_SMR,assists_LMR,assists_C3,assists_AB3,rebounds_Minutes,rebounds_Reb,rebounds_DReb,rebounds_FT DReb,rebounds_FT DReb%,rebounds_2Pt DReb,rebounds_2Pt DReb%,rebounds_3Pt DReb,rebounds_3Pt DReb%,rebounds_FG DReb%,rebounds_OReb,rebounds_FT OReb,rebounds_FT OReb%,rebounds_2Pt OReb,rebounds_2Pt OReb%,rebounds_3Pt OReb,rebounds_3Pt OReb%,rebounds_FG OReb%,rebounds_Rim DReb%,rebounds_SMR DReb%,rebounds_LMR DReb%,rebounds_AB3 DReb%,rebounds_C3 DReb%,rebounds_Rim OReb%,rebounds_SMR OReb%,rebounds_LMR OReb%,rebounds_AB3 OReb%,rebounds_C3 OReb%,rebounds_Z-Bounds,rebounds_Z-Bound Pct,turnovers_Minutes,turnovers_TOs,turnovers_Live Ball TOs,turnovers_Dead Ball TOs,turnovers_Live Ball TO%,turnovers_Lost Ball,turnovers_Lost Ball Out of Bounds,turnovers_Bad Pass,turnovers_Bad Pass Out of Bounds,turnovers_Travels,turnovers_3 Second Violation,turnovers_Step Out of Bounds,turnovers_Offensive Goaltending,stocks_Minutes,stocks_Blocks,stocks_2pt Blocks,stocks_3pt Blocks,stocks_Rim Blocks,stocks_SMR Blocks,stocks_LMR Blocks,stocks_C3 Blocks,stocks_AB3 Blocks,stocks_BLK REC,stocks_BLK REC%,stocks_Steals,stocks_Lost Ball Steals,stocks_Bad Pass Steals,stocks_Goaltending Violations
Kyle Filipowski,Utah Jazz,DAL @ UTAH,DAL @ UTA,5500.0,20.0,241.5,4.5,2026-01-09,337.0,1.38,697.0,18.65,5.16,9.18,56.25,1.87,5.45,34.21,34.21,2.73,6.31,4.02,5.6,0.0,61.11,75.86,100.0,37.25,0.54,54.41,57.02,2.01,1.29,14.06,0.0,0.0,16.79,337.0,4.16,10.33,2.15,2.01,1.29,0.72,0.14,0.57,1.43,337.0,6.18,9.58,0.85,35.29,3.24,16.31,5.49,19.6,18.24,2.73,0.0,0.0,1.29,6.72,1.43,5.65,6.11,26.67,11.43,11.54,19.08,21.28,2.5,8.0,10.53,6.15,4.26,3.0,6.98,337.0,2.87,1.72,1.15,60.0,0.29,0.14,1.43,0.29,0.0,0.0,0.14,0.0,337.0,1.27,1.27,0.0,0.42,0.85,0.0,0.0,0.0,0.85,66.67,1.27,2.0,7.0,0.14
Elijah Harkless,Utah Jazz,DAL @ UTAH,DAL @ UTA,3500.0,3.79,241.5,4.5,2026-01-09,17.0,15.75,35.0,11.43,0.0,0.0,0.0,2.86,8.57,33.33,33.33,2.86,0.0,0.0,8.57,0.0,0.0,0.0,100.0,100.0,0.53,50.0,50.0,0.0,0.0,0.0,0.0,0.0,10.53,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.7,2.56,0.0,0.0,0.0,0.0,2.56,11.11,7.69,2.86,0.0,0.0,0.0,0.0,2.86,12.5,10.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,3.0,0.0,0.0
Cooper Flagg,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,8400.0,36.0,241.5,4.5,2026-01-09,649.0,-3.64,1357.0,29.26,9.95,17.17,57.94,1.4,4.94,28.36,28.36,5.16,8.25,11.64,3.54,0.66,41.48,43.08,84.21,22.33,0.53,54.5,59.08,0.74,1.25,7.3,0.0,0.0,25.02,649.0,5.45,12.9,3.46,1.99,1.99,1.25,0.22,1.11,0.88,649.0,4.73,7.64,0.37,20.0,4.9,17.55,2.37,11.03,14.71,1.84,0.15,5.0,0.88,3.64,0.81,4.01,3.81,12.78,17.68,27.42,9.0,16.46,5.79,2.9,1.41,3.3,5.43,5.0,3.91,649.0,3.24,1.84,1.4,56.82,1.47,0.29,0.37,0.37,0.37,0.0,0.29,0.0,649.0,1.11,1.11,0.0,0.3,0.82,0.0,0.0,0.0,0.59,53.33,1.71,3.0,20.0,0.07
Walter Clayton Jr.,Utah Jazz,DAL @ UTAH,DAL @ UTA,4000.0,7.79,241.5,4.5,2026-01-09,137.0,-11.85,273.0,20.15,3.66,6.23,58.82,2.56,9.52,26.92,26.92,5.13,2.93,4.4,6.59,1.1,40.0,40.0,85.71,60.47,0.5,47.67,56.12,0.0,0.73,11.76,0.37,3.85,17.79,137.0,5.49,12.45,4.03,1.47,2.56,1.47,0.0,1.1,0.37,137.0,2.3,3.77,0.0,0.0,0.68,4.0,3.08,12.86,9.17,0.73,0.0,0.0,0.0,0.0,0.73,2.7,1.5,0.0,4.76,14.29,16.98,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,137.0,3.3,2.2,1.1,66.67,1.47,0.0,0.73,0.73,0.0,0.0,0.0,0.0,137.0,0.68,0.68,0.0,0.34,0.34,0.0,0.0,0.0,0.34,50.0,1.37,1.0,3.0,0.0
Ace Bailey,Utah Jazz,DAL @ UTAH,DAL @ UTA,4600.0,11.65,241.5,4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa Cisse,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,3500.0,1.99,241.5,4.5,2026-01-09,86.0,-3.61,181.0,13.26,4.97,7.18,69.23,0.0,0.0,0.0,0.0,3.31,7.73,2.21,0.0,0.0,77.78,87.5,0.0,0.0,0.64,69.23,66.67,1.1,0.55,7.69,0.0,0.0,12.38,86.0,1.1,2.21,1.1,0.0,0.0,0.55,0.55,0.0,0.0,86.0,6.85,8.7,0.0,0.0,5.98,20.75,2.72,12.82,17.39,4.97,0.0,0.0,3.87,15.91,1.1,6.45,12.0,25.0,10.34,50.0,11.11,16.67,18.18,16.0,12.5,7.69,0.0,0.0,0.0,86.0,3.87,1.66,2.21,42.86,1.66,0.55,0.0,0.0,0.0,0.0,0.0,0.0,86.0,4.89,4.89,0.0,1.09,3.8,0.0,0.0,0.0,3.26,66.67,1.63,1.0,2.0,1.63
Ryan Nembhard,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,3900.0,5.09,241.5,4.5,2026-01-09,248.0,1.02,509.0,22.2,5.5,9.43,58.33,3.73,6.68,55.88,55.88,0.0,2.75,8.25,10.02,1.18,25.0,25.0,89.47,41.46,0.5,68.9,68.9,0.0,0.2,2.08,0.0,0.0,17.49,248.0,12.18,27.9,8.64,3.54,5.3,2.36,0.98,1.38,2.16,248.0,2.27,4.37,0.0,0.0,1.98,7.35,2.38,10.34,8.73,0.2,0.0,0.0,0.2,0.81,0.0,0.0,0.46,14.0,1.54,9.52,10.39,10.26,2.94,0.0,0.0,0.0,0.0,0.0,0.0,248.0,3.34,2.55,0.79,76.47,0.79,0.0,1.77,0.2,0.2,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,0.0
Miles Kelly,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,3500.0,1.4,241.5,4.5,2026-01-09,2.0,-88.89,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Plumlee,Charlotte Hornets,IND @ CHA,IND @ CHA,3500.0,0.0,232.5,-4.5,2026-01-09,108.0,8.9,215.0,10.7,3.72,5.12,72.73,0.0,0.0,0.0,0.0,3.26,6.51,0.93,0.0,0.0,87.5,100.0,0.0,0.0,0.69,72.73,76.67,0.93,0.47,9.09,0.0,0.0,8.59,108.0,7.44,20.0,2.33,5.12,1.86,0.0,0.47,1.4,3.72,108.0,6.82,10.22,1.33,27.27,5.78,31.71,3.11,15.91,23.53,3.26,0.47,50.0,0.93,5.13,1.86,6.45,5.94,18.18,45.45,12.5,11.11,37.5,7.69,5.0,0.0,6.67,5.88,1.0,50.0,108.0,3.26,1.4,1.86,42.86,0.0,0.0,1.4,0.93,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,3.0,1.0,0.0
Spencer Dinwiddie,Charlotte Hornets,IND @ CHA,IND @ CHA,,8.93,232.5,-4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delon Wright,Indiana Pacers,IND @ CHA,IND @ CHA,,6.95,232.5,-4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,Charlotte Hornets,IND @ CHA,IND @ CHA,3500.0,1.68,232.5,-4.5,2026-01-09,58.0,11.76,118.0,16.95,3.39,5.08,66.67,2.54,8.47,30.0,30.0,2.54,5.08,1.69,7.63,0.0,75.0,75.0,100.0,62.5,0.57,53.13,55.56,0.0,0.0,0.0,0.0,0.0,12.58,58.0,3.39,7.63,2.54,0.85,1.69,0.85,0.0,0.0,0.85,58.0,2.98,3.42,0.0,0.0,3.42,14.29,0.0,0.0,7.84,2.54,0.0,0.0,0.85,2.7,1.69,6.67,4.48,23.08,12.5,0.0,0.0,0.0,0.0,0.0,14.29,9.52,0.0,0.0,0.0,58.0,0.85,0.85,0.0,100.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,1.0,3.0,0.0
T.J. McConnell,Indiana Pacers,IND @ CHA,IND @ CHA,4800.0,19.0,232.5,-4.5,2026-01-09,145.0,-10.68,317.0,26.81,10.41,18.61,55.93,1.58,3.47,45.45,45.45,1.26,7.57,13.25,3.79,0.95,36.36,38.71,80.0,15.71,0.47,57.86,59.03,1.26,0.95,5.08,0.0,0.0,24.85,145.0,13.88,35.65,5.99,7.89,3.79,1.89,0.32,3.15,4.73,145.0,3.46,5.03,0.0,0.0,1.89,8.7,3.14,14.93,11.76,1.89,0.0,0.0,0.32,1.43,1.58,7.04,4.26,8.33,12.5,0.0,14.55,16.67,0.0,2.56,0.0,5.88,10.0,0.0,0.0,145.0,3.79,2.52,1.26,66.67,0.32,0.63,2.21,0.63,0.0,0.0,0.0,0.0,145.0,0.94,0.94,0.0,0.63,0.31,0.0,0.0,0.0,0.31,33.33,5.03,6.0,10.0,0.0
Pascal Siakam,Indiana Pacers,IND @ CHA,IND @ CHA,8400.0,34.5,232.5,-4.5,2026-01-09,234.0,-9.9,508.0,31.69,10.43,19.69,53.0,1.57,5.51,28.57,28.57,6.1,8.66,12.2,4.13,0.59,41.51,43.14,87.5,21.88,0.49,50.78,53.67,0.79,0.2,1.0,0.0,0.0,30.09,234.0,6.5,16.54,2.95,3.54,1.97,0.39,0.59,0.2,3.35,234.0,4.21,7.02,0.78,33.33,3.51,16.22,2.73,11.76,13.91,1.38,0.0,0.0,0.59,2.54,0.79,2.96,2.77,19.51,15.09,11.76,10.99,14.29,2.86,2.9,0.0,2.86,3.33,2.0,3.13,234.0,4.53,3.15,1.38,69.57,1.38,0.0,1.77,0.0,0.59,0.0,0.2,0.0,234.0,0.19,0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.19,100.0,1.17,3.0,3.0,0.19
Tony Bradley,Indiana Pacers,IND @ CHA,IND @ CHA,,2.66,232.5,-4.5,2026-01-09,135.0,-15.4,276.0,22.1,8.7,14.86,58.54,0.0,0.0,0.0,0.0,4.71,10.14,7.25,0.0,0.0,58.33,77.78,0.0,0.0,0.57,58.54,63.54,4.35,1.81,12.2,0.0,0.0,14.75,135.0,1.81,3.99,1.45,0.36,0.72,0.72,0.0,0.36,0.0,135.0,7.91,6.43,0.71,28.57,1.43,7.27,4.29,16.22,12.4,9.42,0.0,0.0,7.25,21.51,2.17,7.89,15.38,0.0,10.81,0.0,9.26,35.0,24.32,20.45,16.67,5.08,17.65,3.0,25.0,135.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,135.0,0.36,0.36,0.0,0.36,0.0,0.0,0.0,0.0,0.36,100.0,0.71,0.0,2.0,0.36
Monte Morris,Indiana Pacers,IND @ CHA,IND @ CHA,,3.03,232.5,-4.5,2026-01-09,33.0,-8.73,66.0,15.15,4.55,10.61,42.86,1.52,6.06,25.0,25.0,1.52,3.03,6.06,4.55,0.0,33.33,33.33,100.0,36.36,0.58,40.91,41.67,0.0,1.52,14.29,0.0,0.0,15.66,33.0,4.55,9.09,4.55,0.0,1.52,3.03,0.0,0.0,0.0,33.0,2.13,4.0,0.0,0.0,1.33,4.55,2.67,11.76,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.09,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.52,1.52,0.0,100.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.0,0.0
Miles Bridges,Charlotte Hornets,IND @ CHA,IND @ CHA,7500.0,33.0,232.5,-4.5,2026-01-09,677.0,1.45,1353.0,29.49,7.02,13.08,53.67,3.47,10.57,32.87,32.87,5.03,7.69,6.36,9.76,0.67,54.74,56.52,93.62,44.69,0.54,51.72,56.2,0.44,0.52,3.95,0.07,0.7,24.29,677.0,4.88,12.71,1.92,2.96,1.33,0.52,0.07,0.89,2.07,677.0,4.79,8.39,0.72,26.32,3.33,13.9,4.34,19.8,16.72,1.11,0.07,3.85,0.44,1.85,0.59,2.24,2.06,16.3,12.75,10.64,19.75,20.0,2.31,1.91,0.0,1.88,3.3,3.0,1.79,677.0,2.37,1.33,1.03,56.25,0.22,0.07,1.11,0.52,0.07,0.0,0.0,0.0,677.0,1.08,0.87,0.22,0.58,0.29,0.0,0.07,0.14,0.8,73.33,0.58,3.0,5.0,0.22
Collin Sexton,Charlotte Hornets,IND @ CHA,IND @ CHA,5400.0,24.0,232.5,-4.5,2026-01-09,414.0,4.77,831.0,32.01,7.7,15.04,51.2,2.89,6.62,43.64,43.64,7.94,5.78,9.63,7.22,1.44,37.5,40.68,83.33,30.56,0.54,55.56,62.5,1.2,2.05,13.6,0.0,0.0,25.28,414.0,7.82,18.89,4.57,3.25,3.73,0.72,0.12,1.08,2.17,414.0,2.09,2.73,0.48,15.38,0.95,4.02,1.31,5.67,4.83,1.44,0.0,0.0,0.72,3.23,0.72,3.08,3.15,5.56,3.19,3.03,5.92,4.76,4.35,3.3,0.0,2.67,4.44,2.0,2.7,414.0,4.33,2.65,1.68,61.11,1.44,0.12,1.2,0.36,0.36,0.0,0.0,0.0,414.0,0.24,0.24,0.0,0.0,0.12,0.12,0.0,0.0,0.12,50.0,1.9,11.0,5.0,0.0
Grant Williams,Charlotte Hornets,IND @ CHA,IND @ CHA,3500.0,0.0,232.5,-4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Martin,Indiana Pacers,IND @ CHA,IND @ CHA,,4.41,232.5,-4.5,2026-01-09,23.0,-1.29,46.0,6.52,2.17,6.52,33.33,0.0,6.52,0.0,0.0,2.17,4.35,0.0,0.0,0.0,100.0,100.0,0.0,50.0,0.52,16.67,21.43,0.0,2.17,33.33,0.0,0.0,12.73,23.0,2.17,6.52,0.0,2.17,0.0,0.0,0.0,0.0,2.17,23.0,8.0,12.96,0.0,0.0,0.0,0.0,12.96,33.33,18.92,2.17,0.0,0.0,2.17,5.88,0.0,0.0,3.45,0.0,0.0,0.0,43.75,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.85,1.85,0.0,0.0,0.0,1.85,0.0,0.0,1.85,100.0,1.85,1.0,0.0,0.0
Aaron Nesmith,Indiana Pacers,IND @ CHA,IND @ CHA,6000.0,31.0,232.5,-4.5,2026-01-09,161.0,-8.16,347.0,23.92,3.46,9.8,35.29,4.03,12.1,33.33,33.33,4.9,5.19,1.73,12.1,0.0,75.0,81.82,100.0,55.26,0.53,43.42,48.26,0.58,1.73,17.65,0.29,2.38,24.32,161.0,2.59,6.34,1.44,1.15,0.29,1.15,0.0,0.58,0.58,161.0,4.77,6.09,0.0,0.0,3.19,13.75,2.9,14.71,14.19,3.46,0.29,5.88,1.15,4.04,2.02,8.14,5.95,11.11,12.2,25.0,14.58,15.0,2.56,6.38,0.0,8.82,5.56,4.0,9.76,161.0,3.75,1.73,2.02,46.15,1.15,0.58,0.58,0.0,0.0,0.0,0.0,0.0,161.0,0.58,0.58,0.0,0.0,0.58,0.0,0.0,0.0,0.29,50.0,2.32,1.0,7.0,0.0
Josh Green,Charlotte Hornets,IND @ CHA,IND @ CHA,3700.0,4.63,232.5,-4.5,2026-01-09,175.0,-0.75,354.0,14.41,1.13,1.98,57.14,3.95,10.17,38.89,38.89,0.28,1.69,0.56,11.86,0.0,75.0,75.0,100.0,83.72,0.57,58.14,57.95,0.0,0.0,0.0,0.0,0.0,11.53,175.0,2.82,6.5,1.98,0.85,1.41,0.56,0.0,0.0,0.85,175.0,2.98,2.86,0.0,0.0,0.86,3.41,2.0,8.05,5.71,3.11,0.0,0.0,0.85,3.49,2.26,8.42,6.08,2.7,5.26,0.0,10.94,0.0,2.63,2.56,11.11,9.59,4.55,0.0,0.0,175.0,1.41,0.85,0.56,60.0,0.28,0.28,0.56,0.28,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0
LaMelo Ball,Charlotte Hornets,IND @ CHA,IND @ CHA,8500.0,27.0,232.5,-4.5,2026-01-09,436.0,5.97,894.0,37.7,6.71,14.88,45.11,6.49,15.32,42.34,42.34,4.81,1.57,11.86,13.76,5.7,11.67,12.96,70.69,50.74,0.51,54.44,57.76,1.34,1.12,7.52,0.0,0.0,32.01,436.0,13.2,31.88,7.72,5.48,5.59,1.79,0.34,1.57,3.91,436.0,4.1,6.21,0.11,4.35,2.37,9.91,3.72,16.92,13.27,2.01,0.0,0.0,1.45,6.19,0.56,2.17,4.09,4.17,11.25,22.22,18.18,12.2,3.9,8.74,3.33,2.17,2.17,8.0,5.8,436.0,5.37,3.36,2.01,62.5,0.78,0.22,2.57,0.45,0.22,0.0,0.34,0.0,436.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.81,7.0,9.0,0.0
Tre Mann,Charlotte Hornets,IND @ CHA,IND @ CHA,3700.0,3.5,232.5,-4.5,2026-01-09,254.0,-3.35,513.0,21.83,5.07,12.28,41.27,3.7,11.5,32.2,32.2,0.58,2.34,7.8,7.6,3.51,23.08,23.08,68.42,48.36,0.52,44.67,45.16,0.0,0.58,4.76,0.0,0.0,23.91,254.0,6.82,17.54,2.92,3.9,2.14,0.58,0.19,1.17,2.73,254.0,3.88,5.61,0.19,10.0,3.87,16.53,1.55,7.62,12.39,2.14,0.0,0.0,1.36,5.74,0.78,2.96,4.28,12.5,19.23,19.05,9.09,0.0,5.36,5.36,10.0,2.06,5.26,4.0,5.63,254.0,4.68,2.92,1.75,62.5,1.36,0.19,1.56,0.39,0.19,0.0,0.39,0.0,254.0,0.39,0.39,0.0,0.19,0.19,0.0,0.0,0.0,0.39,100.0,1.55,4.0,4.0,0.0
Isaiah Jackson,Indiana Pacers,IND @ CHA,IND @ CHA,3900.0,0.0,232.5,-4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Robinson-Earl,Indiana Pacers,IND @ CHA,IND @ CHA,,4.75,232.5,-4.5,2026-01-09,80.0,-2.6,168.0,7.74,2.38,10.71,22.22,0.6,3.57,16.67,16.67,1.19,3.57,1.19,1.79,0.0,75.0,100.0,100.0,25.0,0.52,22.92,26.0,1.19,1.79,16.67,0.0,0.0,12.56,80.0,2.38,5.36,1.79,0.6,1.19,0.6,0.0,0.0,0.6,80.0,8.5,10.4,0.58,50.0,5.78,24.39,4.05,17.07,20.73,6.55,1.19,50.0,2.38,7.02,2.98,12.2,9.18,18.18,22.22,66.67,21.21,0.0,11.11,4.35,0.0,11.43,16.67,1.0,6.25,80.0,0.6,0.6,0.0,100.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,2.0,1.0,0.0
Jay Huff,Indiana Pacers,IND @ CHA,IND @ CHA,4500.0,7.03,232.5,-4.5,2026-01-09,183.0,-8.87,398.0,15.83,2.76,3.27,84.62,2.51,9.8,25.64,25.64,2.76,4.02,1.51,7.54,0.0,72.73,88.89,100.0,75.0,0.57,50.0,54.31,1.01,0.25,7.69,0.0,0.0,13.87,183.0,3.02,6.78,2.26,0.75,0.75,0.75,0.75,0.25,0.5,183.0,3.74,5.45,0.74,30.0,2.23,8.91,2.48,11.11,9.95,2.01,0.0,0.0,1.51,6.52,0.5,1.83,3.98,2.56,16.28,5.26,10.0,15.0,11.76,0.0,14.29,2.22,0.0,0.0,0.0,183.0,1.26,0.5,0.75,40.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,183.0,5.45,5.2,0.25,2.48,2.72,0.0,0.0,0.25,3.22,59.09,0.25,0.0,1.0,0.0
Mac McClung,Indiana Pacers,IND @ CHA,IND @ CHA,,2.91,232.5,-4.5,2026-01-09,16.0,-20.0,35.0,28.57,2.86,5.71,50.0,5.71,17.14,33.33,33.33,5.71,5.71,0.0,8.57,8.57,100.0,100.0,50.0,75.0,0.52,50.0,55.56,0.0,2.86,50.0,0.0,0.0,20.83,16.0,2.86,5.71,2.86,0.0,0.0,0.0,2.86,0.0,0.0,16.0,2.86,5.71,0.0,0.0,0.0,0.0,5.71,50.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.86,2.86,0.0,100.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,16.0,2.86,2.86,0.0,0.0,2.86,0.0,0.0,0.0,2.86,100.0,5.71,1.0,1.0,0.0
Micah Potter,Indiana Pacers,IND @ CHA,IND @ CHA,4000.0,5.99,232.5,-4.5,2026-01-09,38.0,11.31,82.0,24.39,1.22,1.22,100.0,2.44,6.1,40.0,40.0,14.63,2.44,0.0,7.32,0.0,100.0,100.0,100.0,83.33,0.55,66.67,83.33,0.0,0.0,0.0,0.0,0.0,14.77,38.0,7.32,17.07,4.88,2.44,3.66,1.22,0.0,0.0,2.44,38.0,4.12,6.82,2.27,66.67,2.27,13.33,2.27,11.76,12.5,1.22,1.22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.22,1.22,0.0,100.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,38.0,1.14,1.14,0.0,1.14,0.0,0.0,0.0,0.0,1.14,100.0,0.0,0.0,0.0,0.0
