player,team,gameInfo,game_abbr,salary,minutes,total,spread_home,game_date,points_Minutes,points_P/M,points_Possessions,points_Pts,points_FG2M,points_FG2A,points_2pt FG%,points_FG3M,points_FG3A,points_3pt FG%,points_Non-Heave 3pt FG%,points_FT Pts,points_AST2 Pts,points_UAST2 2s Pts,points_AST3 Pts,points_UAST3 Pts,points_2pt AST%,points_Non Putback 2pt AST%,points_3pt AST%,points_3PAr,points_Shot Quality,points_eFG%,points_TS%,points_PUT,points_FG2AB,points_% of FG2AB,points_FG3AB,points_% of FG3AB,points_Usage,assists_Minutes,assists_Assists,assists_Assist Pts,assists_2pt,assists_3pt,assists_At Rim,assists_SMR,assists_LMR,assists_C3,assists_AB3,rebounds_Minutes,rebounds_Reb,rebounds_DReb,rebounds_FT DReb,rebounds_FT DReb%,rebounds_2Pt DReb,rebounds_2Pt DReb%,rebounds_3Pt DReb,rebounds_3Pt DReb%,rebounds_FG DReb%,rebounds_OReb,rebounds_FT OReb,rebounds_FT OReb%,rebounds_2Pt OReb,rebounds_2Pt OReb%,rebounds_3Pt OReb,rebounds_3Pt OReb%,rebounds_FG OReb%,rebounds_Rim DReb%,rebounds_SMR DReb%,rebounds_LMR DReb%,rebounds_AB3 DReb%,rebounds_C3 DReb%,rebounds_Rim OReb%,rebounds_SMR OReb%,rebounds_LMR OReb%,rebounds_AB3 OReb%,rebounds_C3 OReb%,rebounds_Z-Bounds,rebounds_Z-Bound Pct,turnovers_Minutes,turnovers_TOs,turnovers_Live Ball TOs,turnovers_Dead Ball TOs,turnovers_Live Ball TO%,turnovers_Lost Ball,turnovers_Lost Ball Out of Bounds,turnovers_Bad Pass,turnovers_Bad Pass Out of Bounds,turnovers_Travels,turnovers_3 Second Violation,turnovers_Step Out of Bounds,turnovers_Offensive Goaltending,stocks_Minutes,stocks_Blocks,stocks_2pt Blocks,stocks_3pt Blocks,stocks_Rim Blocks,stocks_SMR Blocks,stocks_LMR Blocks,stocks_C3 Blocks,stocks_AB3 Blocks,stocks_BLK REC,stocks_BLK REC%,stocks_Steals,stocks_Lost Ball Steals,stocks_Bad Pass Steals,stocks_Goaltending Violations
Joe Ingles,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,3500.0,1.97,236.5,-2.5,2026-01-09,3.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,3.0,20.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larry Nance Jr.,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,3600.0,6.29,236.5,-2.5,2026-01-09,120.0,-1.28,248.0,9.27,1.61,4.44,36.36,2.02,6.85,29.41,29.41,0.0,3.23,0.0,6.05,0.0,100.0,100.0,100.0,60.71,0.57,41.07,41.07,0.0,1.21,27.27,0.0,0.0,11.15,120.0,4.44,10.89,2.42,2.02,1.61,0.81,0.0,0.4,1.61,120.0,4.04,6.07,0.4,25.0,2.83,14.0,2.83,11.48,12.61,2.02,0.0,0.0,0.81,4.17,1.21,4.05,4.1,23.08,4.55,20.0,14.58,0.0,5.88,3.85,0.0,5.45,0.0,0.0,0.0,120.0,1.21,0.0,1.21,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,120.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.43,1.0,5.0,0.0
Lonzo Ball,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,4000.0,9.72,236.5,-2.5,2026-01-09,203.0,-5.01,438.0,8.68,0.91,1.6,57.14,1.83,9.36,19.51,19.51,1.37,0.91,0.91,4.79,0.68,50.0,66.67,87.5,85.42,0.56,33.33,37.25,0.46,0.23,14.29,0.0,0.0,13.61,203.0,7.53,19.41,3.2,4.34,2.05,0.91,0.23,1.37,2.97,203.0,4.17,6.12,0.94,40.0,2.59,13.41,2.59,10.68,11.89,2.28,0.0,0.0,1.14,6.02,1.14,3.6,4.5,10.26,10.71,26.67,8.54,19.05,6.67,5.0,7.69,3.26,4.26,0.0,0.0,203.0,4.11,2.74,1.37,66.67,0.68,0.0,2.05,1.14,0.0,0.0,0.0,0.0,203.0,0.71,0.71,0.0,0.0,0.24,0.47,0.0,0.0,0.47,66.67,3.29,6.0,8.0,0.0
Donovan Mitchell,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,9600.0,34.0,236.5,-2.5,2026-01-09,454.0,3.66,966.0,37.99,8.59,13.56,63.36,4.87,12.01,40.52,40.52,6.21,3.52,13.66,8.7,5.9,20.48,20.73,59.57,46.96,0.54,62.15,65.76,0.21,0.72,5.34,0.0,0.0,29.59,454.0,7.76,18.63,4.66,3.11,3.11,1.45,0.1,1.24,1.86,454.0,3.05,5.36,0.0,0.0,2.68,10.55,2.68,11.63,11.06,0.83,0.0,0.0,0.52,2.72,0.31,1.23,1.87,10.78,7.95,14.89,11.31,12.77,3.13,3.45,0.0,0.55,3.28,3.0,2.73,454.0,4.66,2.8,1.86,60.0,1.14,0.41,1.66,0.83,0.21,0.0,0.0,0.0,454.0,0.32,0.32,0.0,0.21,0.11,0.0,0.0,0.0,0.11,33.33,2.25,7.0,14.0,0.0
Jarrett Allen,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,6400.0,28.5,236.5,-2.5,2026-01-09,198.0,3.36,428.0,22.66,8.64,15.42,56.06,0.0,0.23,0.0,0.0,5.37,14.49,2.8,0.0,0.0,83.78,91.18,0.0,1.49,0.56,55.22,61.39,1.4,2.57,16.67,0.0,0.0,19.05,198.0,3.27,8.41,1.4,1.87,0.23,0.7,0.47,0.93,0.93,198.0,6.79,10.22,1.22,55.56,4.14,15.32,4.87,22.73,18.59,3.5,0.0,0.0,2.1,9.89,1.4,6.0,7.85,9.09,26.32,11.11,22.73,22.73,10.34,13.04,0.0,5.19,8.7,1.0,5.56,198.0,3.04,1.64,1.4,53.85,1.17,0.23,0.47,0.23,0.0,0.0,0.0,0.0,198.0,0.73,0.73,0.0,0.73,0.0,0.0,0.0,0.0,0.49,66.67,1.22,3.0,2.0,0.0
Thomas Bryant,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,3700.0,5.9,236.5,-2.5,2026-01-09,135.0,2.18,289.0,18.69,5.19,7.61,68.18,2.08,7.96,26.09,26.09,2.08,7.61,2.77,6.23,0.0,73.33,91.67,100.0,51.11,0.59,53.33,56.25,2.08,1.38,18.18,0.0,0.0,15.98,135.0,2.08,4.5,1.73,0.35,1.38,0.35,0.0,0.0,0.35,135.0,5.32,6.8,0.34,8.33,4.08,19.35,2.38,9.72,14.18,3.81,0.0,0.0,2.08,11.54,1.73,5.62,7.8,20.83,16.67,25.0,9.09,11.76,5.26,20.83,0.0,5.88,4.76,1.0,5.0,135.0,2.08,0.35,1.73,16.67,0.35,0.0,0.0,0.69,0.0,0.0,0.0,0.35,135.0,1.7,1.7,0.0,1.02,0.68,0.0,0.0,0.0,1.36,80.0,1.36,2.0,2.0,0.0
Donte DiVincenzo,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,5900.0,31.0,236.5,-2.5,2026-01-09,471.0,9.37,980.0,23.37,2.35,4.9,47.92,5.41,13.16,41.09,41.09,2.45,2.45,2.24,15.0,1.22,52.17,57.14,92.45,72.88,0.55,57.91,59.95,0.41,0.31,6.25,0.2,1.55,18.57,471.0,6.02,13.67,4.39,1.63,2.86,1.22,0.31,0.61,1.02,471.0,3.71,5.56,0.1,4.55,2.12,7.98,3.34,15.42,11.32,1.84,0.1,3.23,0.71,3.14,1.02,4.44,3.79,7.69,9.49,4.17,16.98,10.91,3.49,2.75,3.57,4.27,4.92,5.0,5.26,471.0,1.73,1.22,0.51,70.59,0.61,0.0,0.61,0.1,0.0,0.0,0.0,0.0,471.0,0.61,0.51,0.1,0.3,0.2,0.0,0.0,0.1,0.4,66.67,1.92,1.0,18.0,0.0
De'Andre Hunter,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,4400.0,28.0,236.5,-2.5,2026-01-09,300.0,0.2,646.0,25.23,6.04,10.53,57.35,2.32,8.82,26.32,26.32,6.19,5.88,6.19,4.18,2.79,48.72,50.0,60.0,45.6,0.53,49.2,56.21,0.31,0.77,7.35,0.0,0.0,22.65,300.0,4.18,10.37,2.17,2.01,0.93,0.93,0.31,0.62,1.39,300.0,3.85,6.69,0.32,28.57,2.23,9.79,4.14,18.57,14.13,1.08,0.0,0.0,0.15,0.79,0.93,3.55,2.37,7.69,10.71,13.64,17.59,21.88,0.0,1.54,0.0,3.94,2.38,1.0,1.56,300.0,3.72,2.48,1.24,66.67,1.08,0.62,1.39,0.15,0.0,0.0,0.15,0.0,300.0,0.32,0.32,0.0,0.16,0.0,0.16,0.0,0.0,0.32,100.0,1.27,5.0,3.0,0.0
Darius Garland,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,7000.0,32.0,236.5,-2.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Wade,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,3800.0,0.0,236.5,-2.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Strus,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,3900.0,0.0,236.5,-2.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naz Reid,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,6000.0,28.0,236.5,-2.5,2026-01-09,438.0,5.6,910.0,28.13,6.04,10.88,55.56,4.51,11.76,38.32,38.32,2.53,6.59,5.49,12.53,0.99,54.55,60.0,92.68,51.94,0.53,56.55,58.18,1.1,1.1,10.1,0.0,0.0,23.86,438.0,5.05,12.42,2.75,2.31,1.98,0.66,0.11,0.66,1.65,438.0,6.1,10.22,0.66,35.29,7.25,26.94,2.31,11.23,20.14,1.98,0.11,4.35,0.99,4.02,0.88,3.83,3.93,29.76,24.0,30.56,11.64,9.76,5.38,3.88,0.0,4.05,3.28,3.0,3.0,438.0,3.41,1.87,1.54,54.84,0.77,0.22,1.1,0.77,0.0,0.0,0.11,0.0,438.0,1.65,1.43,0.22,0.55,0.66,0.22,0.11,0.11,0.88,53.33,1.87,5.0,12.0,0.11
Anthony Edwards,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,9500.0,35.0,236.5,-2.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaden McDaniels,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,6000.0,31.5,236.5,-2.5,2026-01-09,466.0,6.11,968.0,24.48,7.33,13.95,52.59,1.86,5.17,36.0,36.0,4.24,8.68,5.99,4.96,0.62,59.15,62.69,88.89,27.03,0.54,52.97,57.25,0.83,1.45,10.37,0.0,0.0,21.37,466.0,3.62,8.68,2.17,1.45,1.55,0.52,0.1,0.41,1.03,466.0,3.1,4.54,0.0,0.0,2.27,8.46,2.27,10.43,9.34,1.65,0.21,5.88,1.03,4.67,0.41,1.9,3.3,7.41,10.61,4.26,10.19,11.11,7.14,3.88,0.0,1.89,1.96,8.0,10.0,466.0,2.79,0.83,1.96,29.63,0.41,0.31,0.41,0.52,0.21,0.0,0.31,0.0,466.0,1.55,1.55,0.0,1.24,0.31,0.0,0.0,0.0,0.72,46.67,1.34,4.0,9.0,0.0
Sam Merrill,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,4300.0,10.0,236.5,-2.5,2026-01-09,174.0,8.85,388.0,21.65,1.03,2.32,44.44,5.93,14.95,39.66,39.66,1.8,2.06,0.0,16.24,1.55,100.0,100.0,91.3,86.57,0.54,57.46,59.15,0.0,0.0,0.0,0.0,0.0,16.74,174.0,4.64,11.34,2.58,2.06,1.55,0.52,0.52,0.0,2.06,174.0,1.34,1.94,0.0,0.0,1.11,3.74,0.83,5.0,4.19,0.77,0.0,0.0,0.26,1.32,0.52,1.89,1.65,4.26,2.13,7.69,4.26,7.69,0.0,2.94,0.0,2.38,0.0,1.0,2.5,174.0,1.03,0.52,0.52,50.0,0.0,0.0,0.52,0.0,0.0,0.0,0.26,0.0,174.0,0.28,0.28,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.56,1.0,1.0,0.0
Evan Mobley,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,8200.0,33.5,236.5,-2.5,2026-01-09,398.0,-0.02,831.0,25.75,7.46,13.84,53.91,2.05,5.54,36.96,36.96,4.69,8.66,6.26,5.42,0.72,58.06,65.45,88.24,28.57,0.56,54.35,57.22,1.68,0.72,5.22,0.12,2.17,23.04,398.0,5.9,15.04,2.65,3.25,1.68,0.84,0.12,1.44,1.81,398.0,4.8,6.27,0.37,21.43,2.95,11.88,2.95,13.19,12.5,3.37,0.36,11.54,1.68,8.43,1.32,5.07,6.53,10.98,10.26,16.67,13.01,13.89,7.58,11.27,3.45,5.29,4.26,5.0,6.67,398.0,3.61,2.29,1.32,63.33,1.2,0.36,1.08,0.36,0.12,0.0,0.0,0.0,398.0,2.95,2.83,0.12,2.09,0.74,0.0,0.0,0.12,1.23,41.67,1.35,4.0,7.0,0.12
Bones Hyland,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,3900.0,12.05,236.5,-2.5,2026-01-09,219.0,15.76,447.0,23.94,4.7,7.16,65.63,4.03,11.19,36.0,36.0,2.46,4.47,4.92,8.72,3.36,47.62,50.0,72.22,60.98,0.57,58.54,60.8,0.45,0.89,12.5,0.0,0.0,20.15,219.0,7.16,17.45,4.03,3.13,3.36,0.45,0.22,1.12,2.01,219.0,2.21,3.26,0.0,0.0,1.96,7.56,1.3,6.45,7.08,1.12,0.22,5.88,0.45,2.13,0.45,1.54,1.79,6.38,7.27,11.76,6.58,5.88,0.0,4.76,0.0,0.0,5.26,0.0,0.0,219.0,3.8,1.57,2.24,41.18,0.45,0.0,1.12,1.34,0.0,0.0,0.0,0.0,219.0,0.87,0.87,0.0,0.43,0.22,0.22,0.0,0.0,0.87,100.0,1.52,2.0,5.0,0.0
Luke Travers,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,3500.0,3.71,236.5,-2.5,2026-01-09,60.0,0.25,126.0,13.49,3.97,7.94,50.0,0.0,9.52,0.0,0.0,5.56,4.76,3.17,0.0,0.0,60.0,75.0,0.0,54.55,0.6,22.73,34.0,1.59,0.0,0.0,0.0,0.0,17.69,60.0,3.97,8.73,3.17,0.79,2.38,0.79,0.0,0.0,0.79,60.0,5.79,7.52,0.75,16.67,5.26,20.59,1.5,7.69,15.0,3.97,0.0,0.0,0.79,3.57,3.17,10.0,7.35,11.11,27.27,0.0,11.76,0.0,6.67,0.0,0.0,11.76,0.0,0.0,0.0,60.0,0.79,0.79,0.0,100.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,60.0,2.26,2.26,0.0,0.0,2.26,0.0,0.0,0.0,2.26,100.0,3.01,0.0,4.0,0.0
Leonard Miller,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,3500.0,2.75,236.5,-2.5,2026-01-09,12.0,0.0,21.0,23.81,9.52,9.52,100.0,0.0,9.52,0.0,0.0,4.76,9.52,9.52,0.0,0.0,50.0,50.0,0.0,50.0,0.6,50.0,50.0,0.0,0.0,0.0,0.0,0.0,20.83,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.08,7.14,0.0,0.0,3.57,100.0,3.57,14.29,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Clark,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,3800.0,8.96,236.5,-2.5,2026-01-09,179.0,11.31,365.0,11.51,4.38,6.58,66.67,0.55,5.21,10.53,10.53,1.1,3.29,5.48,1.64,0.0,37.5,50.0,100.0,44.19,0.59,44.19,42.86,2.19,0.27,4.17,0.27,5.26,12.62,179.0,1.64,3.56,1.37,0.27,0.82,0.55,0.0,0.27,0.0,179.0,3.38,3.47,0.0,0.0,1.6,6.0,1.87,7.69,6.81,3.29,0.0,0.0,1.1,4.65,2.19,8.99,6.86,12.9,1.85,6.67,8.11,5.88,5.41,5.13,0.0,13.79,0.0,2.0,9.09,179.0,1.37,0.55,0.82,40.0,0.0,0.0,0.55,0.0,0.27,0.0,0.0,0.0,179.0,0.53,0.53,0.0,0.27,0.27,0.0,0.0,0.0,0.53,100.0,2.93,6.0,5.0,0.0
Chris Livingston,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,3500.0,2.73,236.5,-2.5,2026-01-09,17.0,24.7,36.0,25.0,11.11,11.11,100.0,0.0,8.33,0.0,0.0,2.78,16.67,5.56,0.0,0.0,75.0,75.0,0.0,42.86,0.64,57.14,64.29,0.0,0.0,0.0,0.0,0.0,18.92,17.0,2.78,5.56,2.78,0.0,0.0,2.78,0.0,0.0,0.0,17.0,4.11,8.11,0.0,0.0,0.0,0.0,8.11,27.27,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,1.0,0.0
Craig Porter Jr.,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,4300.0,6.73,236.5,-2.5,2026-01-09,245.0,11.96,518.0,12.55,3.47,5.98,58.06,1.74,3.86,45.0,45.0,0.39,2.7,4.25,4.63,0.58,38.89,46.67,88.89,39.22,0.56,61.76,60.38,1.16,0.19,3.23,0.0,0.0,11.71,245.0,7.92,18.73,5.02,2.9,3.86,0.97,0.19,0.97,1.93,245.0,5.41,6.77,0.19,7.69,3.48,14.17,3.09,12.6,13.39,4.05,0.0,0.0,1.35,6.67,2.7,11.11,9.09,9.09,20.83,12.5,12.5,13.04,4.26,6.52,16.67,11.34,10.34,1.0,4.76,245.0,3.28,2.7,0.58,82.35,0.19,0.19,2.51,0.39,0.0,0.0,0.0,0.0,245.0,1.74,1.55,0.19,0.39,1.16,0.0,0.19,0.0,1.16,66.67,3.48,9.0,9.0,0.0
Rob Dillingham,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,3600.0,6.69,236.5,-2.5,2026-01-09,174.0,-6.07,357.0,14.85,5.04,13.73,36.73,0.84,2.8,30.0,30.0,2.24,4.48,5.6,1.68,0.84,44.44,44.44,66.67,16.95,0.54,38.14,42.06,0.0,1.12,8.16,0.0,0.0,19.7,174.0,9.24,23.25,4.48,4.76,3.08,1.4,0.0,1.12,3.64,174.0,2.49,4.36,0.0,0.0,2.45,9.57,1.91,9.33,9.47,0.56,0.0,0.0,0.0,0.0,0.56,2.99,1.21,6.9,7.41,27.27,10.71,5.26,0.0,0.0,0.0,4.44,0.0,0.0,0.0,174.0,4.76,3.36,1.4,70.59,0.56,0.28,2.8,1.12,0.0,0.0,0.0,0.0,174.0,0.54,0.54,0.0,0.0,0.54,0.0,0.0,0.0,0.54,100.0,3.0,3.0,8.0,0.0
Jaylon Tyson,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,5600.0,29.0,236.5,-2.5,2026-01-09,327.0,10.56,684.0,27.92,5.85,9.21,63.49,4.82,9.21,52.38,52.38,1.75,7.02,4.68,14.47,0.0,60.0,66.67,100.0,50.0,0.59,71.03,72.9,1.17,0.88,9.52,0.0,0.0,18.23,327.0,3.65,8.92,2.05,1.61,1.17,0.73,0.15,0.44,1.17,327.0,4.6,5.83,0.0,0.0,3.21,12.79,2.62,10.84,11.83,3.36,0.15,6.25,1.02,5.07,2.19,8.2,6.85,6.85,16.9,17.86,9.35,18.52,1.75,10.0,0.0,9.63,4.17,2.0,4.26,327.0,1.9,1.17,0.73,61.54,0.15,0.0,1.02,0.15,0.29,0.0,0.0,0.0,327.0,0.73,0.58,0.15,0.15,0.29,0.15,0.0,0.15,0.0,0.0,1.6,1.0,10.0,0.0
Terrence Shannon Jr.,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,3700.0,0.0,236.5,-2.5,2026-01-09,164.0,-10.45,343.0,17.49,2.33,8.45,27.59,2.92,5.54,52.63,52.63,4.08,2.33,2.33,7.0,1.75,50.0,50.0,80.0,39.58,0.57,47.92,52.63,0.0,2.04,24.14,0.0,0.0,15.96,164.0,1.75,3.79,1.46,0.29,1.17,0.29,0.0,0.29,0.0,164.0,2.47,4.07,0.29,25.0,1.16,5.0,2.62,12.33,8.5,0.87,0.0,0.0,0.0,0.0,0.87,4.41,1.83,7.14,2.33,11.11,14.55,5.56,0.0,0.0,0.0,7.5,0.0,0.0,0.0,164.0,2.04,1.17,0.87,57.14,0.29,0.29,0.87,0.29,0.0,0.0,0.0,0.0,164.0,0.29,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,5.0,0.0
Nae'Qwan Tomlin,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,3700.0,5.17,236.5,-2.5,2026-01-09,236.0,5.42,480.0,19.79,5.21,9.38,55.56,1.67,6.04,27.59,27.59,4.38,7.08,3.33,5.0,0.0,68.0,94.44,100.0,39.19,0.64,50.0,53.98,2.92,1.25,13.33,0.0,0.0,16.76,236.0,1.88,4.17,1.46,0.42,1.25,0.21,0.0,0.0,0.42,236.0,4.32,4.67,0.0,0.0,3.45,15.74,1.22,4.62,9.66,3.96,0.0,0.0,1.67,8.6,2.29,8.15,8.33,21.62,11.32,16.67,6.12,0.0,19.44,2.27,0.0,9.52,3.33,5.0,14.29,236.0,0.83,0.42,0.42,50.0,0.21,0.0,0.21,0.21,0.0,0.0,0.0,0.0,236.0,2.23,2.23,0.0,0.81,1.42,0.0,0.0,0.0,1.22,54.55,1.42,1.0,6.0,0.0
Jesse Edwards,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,,1.64,236.5,-2.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Proctor,Cleveland Cavaliers,CLE @ MIN,CLE @ MIN,3500.0,4.74,236.5,-2.5,2026-01-09,154.0,-6.77,312.0,23.72,4.49,8.65,51.85,3.53,15.38,22.92,22.92,4.17,3.21,5.77,8.65,1.92,35.71,35.71,81.82,64.0,0.53,40.67,44.58,0.0,1.6,18.52,0.0,0.0,24.37,154.0,5.77,14.42,2.88,2.88,2.24,0.64,0.0,1.28,1.6,154.0,2.8,4.82,0.0,0.0,1.51,6.02,3.31,14.86,10.19,0.64,0.0,0.0,0.64,2.99,0.0,0.0,1.21,10.34,6.06,0.0,11.86,26.67,0.0,6.67,0.0,0.0,0.0,1.0,2.33,154.0,1.28,0.0,1.28,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,2.0,0.0
Joan Beringer,Minnesota Timberwolves,CLE @ MIN,CLE @ MIN,3500.0,3.01,236.5,-2.5,2026-01-09,11.0,9.55,19.0,10.53,5.26,5.26,100.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.83,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4.55,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.52,7.41,3.7,50.0,0.0,0.0,3.7,14.29,12.5,5.26,0.0,0.0,0.0,0.0,5.26,12.5,9.09,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
