FD_ID,PLAYER_FULL,NAME_KEY,PLAYER,TEAM,OPPONENT,POS,FD_GAME,SALARY,SAL,PROJECTION,FD_SD,VALUE,MINUTES,OWN_PCT,Pace Scale,Pace Scale Raw,Proj Poss,Proj PTS,Proj REB,Proj AST,Proj STL,Proj BLK,Proj TOV,Opp Def,Def Mult Mean,Def Mult Raw,WOWY Min Sample,USG
125339-203713,Reed Sheppard,reed sheppard,R. Sheppard,HOU,POR,PG/SG,HOU@POR,5300.0,$5300,24.98,7.55,4.71,24.0,27.98,0.97,0.97,48.46,12.4,2.72,3.21,1.4,0.56,1.35,116.2,1.01,1.02,321.0,0.22
125339-66236,John Collins,john collins,J. Collins,LAC,NY,PF/C,LAC@NY,5900.0,$5900,24.83,7.32,4.21,29.0,26.68,0.98,0.98,57.38,13.45,5.07,0.88,0.93,0.86,1.42,,1.0,1.0,752.0,0.2
125339-228109,Egor Demin,egor demin,E. Demin,BKN,ORL,PG/SG,ORL@BKN,5200.0,$5200,24.64,7.22,4.74,28.0,28.24,0.97,0.97,55.54,12.4,3.51,4.02,1.01,0.35,2.09,112.8,0.99,0.98,684.0,0.21
125339-228118,Tre Johnson,tre johnson,T. Johnson,WAS,PHI,PG/SG,WAS@PHI,4900.0,$4900,24.36,6.9,4.97,28.0,28.88,1.03,1.03,62.93,15.31,3.44,2.08,0.76,0.42,1.76,113.3,0.99,0.98,316.0,0.22
125339-23169,Steven Adams,steven adams,S. Adams,HOU,POR,C,HOU@POR,4600.0,$4600,24.25,7.06,5.27,25.5,29.52,0.97,0.97,50.9,7.4,9.44,1.78,0.77,0.61,1.31,116.2,1.01,1.02,268.0,0.21
125339-160174,Jordan Goodwin,jordan goodwin,J. Goodwin,PHX,MEM,SG,PHO@MEM,4600.0,$4600,24.18,7.32,5.26,24.0,29.45,1.02,1.02,50.5,10.32,5.22,2.42,1.6,0.16,1.3,114.0,1.0,0.99,556.0,0.21
125339-157839,Day'Ron Sharpe,day ron sharpe,D. Sharpe,BKN,ORL,C,ORL@BKN,5500.0,$5500,24.08,7.36,4.38,20.0,26.96,0.97,0.97,39.56,8.92,6.44,2.78,1.13,0.54,1.74,112.8,0.99,0.98,412.0,0.21
125339-203721,Bub Carrington,bub carrington,B. Carrington,WAS,PHI,PG,WAS@PHI,4400.0,$4400,23.98,6.87,5.45,30.0,30.07,1.03,1.03,66.71,10.77,4.71,5.15,0.54,0.26,2.58,113.3,0.99,0.98,401.0,0.21
125339-228126,Dylan Harper,dylan harper,D. Harper,SAS,SA,PG/SG,LAL@SA,5500.0,$5500,23.71,7.03,4.31,22.0,26.87,1.03,1.03,47.65,11.67,3.35,3.75,1.11,0.21,1.54,,1.0,1.0,262.0,0.23
,Colby Jones,colby jones,C. Jones,DET,CHI,,,,,23.67,5.74,0.0,15.75,13.25,1.01,1.01,34.92,5.15,9.32,4.88,0.0,0.0,0.0,117.6,1.02,1.03,,0.22
125339-203726,Isaiah Collier,isaiah collier,I. Collier,UTA,,PG,UTA@OKC,5800.0,$5800,23.57,7.24,4.06,24.0,26.17,1.05,1.05,54.16,8.61,2.79,7.13,0.78,0.4,2.62,,1.0,1.0,350.0,0.21
125339-23670,Marcus Smart,marcus smart,M. Smart,LAL,SA,SG/SF,LAL@SA,5000.0,$5000,23.57,7.54,4.71,29.0,28.34,1.03,1.03,62.73,11.18,3.0,3.49,1.47,0.43,2.13,,1.0,1.0,207.0,0.21
125339-84709,Mitchell Robinson,mitchell robinson,M. Robinson,NYK,NY,C,LAC@NY,4200.0,$4200,23.49,7.41,5.59,20.0,30.14,0.98,0.98,40.48,5.01,9.33,1.29,0.88,1.16,0.78,,1.0,1.0,219.0,0.2
125339-188447,Toumani Camara,toumani camara,T. Camara,POR,HOU,SF/PF,HOU@POR,5900.0,$5900,23.4,6.97,3.97,32.0,26.22,0.97,0.97,65.77,11.96,4.89,2.47,0.91,0.38,1.99,112.9,0.99,0.98,526.0,0.2
125339-18338,Royce O'Neale,royce o neale,R. O'Neale,PHX,MEM,SF/PF,PHO@MEM,5300.0,$5300,22.96,7.01,4.33,28.0,27.29,1.02,1.02,60.57,10.07,4.85,2.64,1.22,0.29,1.41,114.0,1.0,0.99,919.0,0.19
125339-84711,Grayson Allen,grayson allen,G. Allen,PHX,MEM,SG/SF,PHO@MEM,5600.0,$5600,22.11,6.94,3.95,23.0,25.95,1.02,1.02,49.0,11.52,2.16,3.27,1.34,0.14,1.34,114.0,1.0,0.99,482.0,0.22
125339-188415,Cason Wallace,cason wallace,C. Wallace,OKC,,PG/SG,UTA@OKC,4000.0,$4000,21.81,7.51,5.45,26.0,30.21,1.05,1.05,58.33,8.22,3.23,2.33,2.13,0.23,0.83,,1.0,1.0,77.0,0.21
125339-84708,Robert Williams,robert williams,R. Williams,POR,HOU,C,HOU@POR,4300.0,$4300,21.8,7.03,5.07,17.0,29.06,0.97,0.97,34.54,6.89,7.03,0.88,0.71,1.16,0.44,112.9,0.99,0.98,186.0,0.21
125339-84703,De'Anthony Melton,de anthony melton,D. Melton,GSW,GS,PG/SG,MIL@GS,4300.0,$4300,21.62,7.84,5.03,23.0,29.18,1.0,1.0,47.43,8.55,2.89,2.17,2.0,0.67,1.64,,1.0,1.0,233.0,0.22
125339-188433,Brandin Podziemski,brandin podziemski,B. Podziemski,GSW,GS,PG/SG,MIL@GS,5500.0,$5500,21.59,6.5,3.92,24.0,25.99,1.0,1.0,50.66,10.59,3.93,2.88,0.9,0.15,1.21,,1.0,1.0,949.0,0.2
125339-203777,Cam Spencer,cam spencer,C. Spencer,MEM,PHX,PG/SG,PHO@MEM,6300.0,$6300,21.16,6.18,3.36,18.72,23.82,1.02,1.02,40.32,11.17,2.01,4.57,0.61,0.04,1.24,113.7,0.99,0.99,584.0,0.21
125339-157824,Miles McBride,miles mcbride,M. McBride,NYK,NY,PG/SG,LAC@NY,4700.0,$4700,21.08,6.18,4.48,26.5,27.94,0.98,0.98,54.23,12.52,2.61,2.42,0.67,0.2,0.83,,1.0,1.0,303.0,0.21
125339-84717,Anfernee Simons,anfernee simons,A. Simons,BOS,DEN,PG/SG,DEN@BOS,4700.0,$4700,20.97,5.93,4.46,24.0,27.79,1.01,1.01,49.21,13.79,2.36,2.42,0.48,0.11,1.03,115.4,1.0,1.01,755.0,0.22
125339-145540,Vit Krejci,vit krejci,V. Krejci,ATL,NO,SG/SF,NO@ATL,4300.0,$4300,20.94,6.44,4.87,25.0,28.94,1.08,1.08,57.37,12.44,2.49,1.82,0.93,0.3,0.9,,1.0,1.0,672.0,0.19
125339-203767,Zaccharie Risacher,zaccharie risacher,Z. Risacher,ATL,NO,SF/PF,NO@ATL,4300.0,$4300,20.89,6.63,4.86,23.0,28.85,1.08,1.08,54.54,11.37,3.18,1.56,0.9,0.53,0.93,,1.0,1.0,657.0,0.21
125339-84721,Jarred Vanderbilt,jarred vanderbilt,J. Vanderbilt,LAL,SA,PF/C,LAL@SA,4000.0,$4000,20.53,6.87,5.13,23.0,29.56,1.03,1.03,49.17,6.83,6.77,1.87,1.05,0.44,1.69,,1.0,1.0,179.0,0.21
125339-157849,Ayo Dosunmu,ayo dosunmu,A. Dosunmu,CHI,DET,SG,CHI@DET,5700.0,$5700,20.48,5.95,3.59,20.71,24.8,1.01,1.01,45.0,12.07,2.33,3.09,0.46,0.17,0.92,110.2,0.97,0.95,220.0,0.22
125339-157807,Luka Garza,luka garza,L. Garza,BOS,DEN,C,DEN@BOS,4500.0,$4500,20.47,6.34,4.55,20.0,27.95,1.01,1.01,41.47,9.19,5.3,1.24,0.54,0.66,0.54,115.4,1.0,1.01,383.0,0.2
125339-228180,Caleb Love,caleb love,C. Love,POR,HOU,PG/SG,HOU@POR,5100.0,$5100,20.17,5.98,3.95,25.18,26.36,0.97,0.97,52.63,12.14,2.9,2.57,0.53,0.12,1.24,112.9,0.99,0.98,379.0,0.22
125339-228119,Ace Bailey,ace bailey,A. Bailey,UTA,,SG/SF,UTA@OKC,4600.0,$4600,20.08,6.45,4.36,25.0,27.66,1.05,1.05,56.6,10.73,3.7,1.72,0.8,0.4,1.29,,1.0,1.0,462.0,0.21
125339-85137,Duncan Robinson,duncan robinson,D. Robinson,DET,CHI,SG/SF,CHI@DET,4000.0,$4000,20.03,6.09,5.01,25.0,29.39,1.01,1.01,53.51,11.66,2.72,1.84,0.7,0.26,0.55,117.6,1.02,1.03,131.0,0.21
125339-23798,Caris LeVert,caris levert,C. LeVert,DET,CHI,SG/SF,CHI@DET,3800.0,$3800,19.94,6.66,5.25,19.0,29.76,1.01,1.01,40.66,10.56,1.77,3.07,0.81,0.55,1.42,117.6,1.02,1.03,153.0,0.22
125339-110359,Goga Bitadze,goga bitadze,G. Bitadze,ORL,BKN,C,ORL@BKN,4000.0,$4000,19.83,6.99,4.96,18.0,29.05,0.97,0.97,37.43,6.07,5.15,1.45,0.71,1.28,0.57,116.0,1.01,1.01,236.0,0.2
125339-23802,Kris Dunn,kris dunn,K. Dunn,LAC,NY,PG/SG,LAC@NY,4600.0,$4600,19.7,6.78,4.28,27.0,27.56,0.98,0.98,53.24,8.21,2.84,3.07,1.42,0.17,1.28,,1.0,1.0,815.0,0.18
125339-84679,Marvin Bagley III,marvin bagley,M. III,WAS,PHI,C,WAS@PHI,4800.0,$4800,19.67,6.28,4.1,18.0,26.59,1.03,1.03,39.25,9.73,4.77,1.35,0.45,0.64,1.1,113.3,0.99,0.98,288.0,0.21
125339-157802,Moses Moody,moses moody,M. Moody,GSW,GS,SG/SF,MIL@GS,4300.0,$4300,19.6,6.64,4.56,23.0,28.21,1.0,1.0,49.09,9.87,3.1,1.49,0.93,0.65,0.95,,1.0,1.0,791.0,0.2
125339-157829,Aaron Wiggins,aaron wiggins,A. Wiggins,OKC,,SF/PF,UTA@OKC,4200.0,$4200,19.12,6.35,4.55,22.0,28.21,1.05,1.05,49.0,10.32,3.01,1.68,0.66,0.58,1.06,,1.0,1.0,104.0,0.22
125339-9621,Brook Lopez,brook lopez,B. Lopez,LAC,NY,C,LAC@NY,3900.0,$3900,18.83,6.85,4.83,22.61,29.01,0.98,0.98,44.08,8.62,3.28,1.23,0.54,1.31,1.12,,1.0,1.0,343.0,0.21
125339-110315,Terance Mann,terance mann,T. Mann,BKN,ORL,SG/SF,ORL@BKN,4200.0,$4200,18.49,6.1,4.4,24.0,27.95,0.97,0.97,47.34,7.48,3.11,3.62,0.66,0.29,0.98,112.8,0.99,0.98,674.0,0.19
125339-15946,Harrison Barnes,harrison barnes,H. Barnes,SAS,SA,SF/PF,LAL@SA,4400.0,$4400,18.11,5.91,4.12,26.0,27.23,1.03,1.03,56.16,9.78,3.27,1.84,0.77,0.11,0.99,,1.0,1.0,274.0,0.21
125339-111273,Luguentz Dort,luguentz dort,L. Dort,OKC,,SG/SF,UTA@OKC,4000.0,$4000,18.02,6.4,4.51,27.0,28.43,1.05,1.05,60.06,8.45,3.64,0.99,0.83,0.66,0.74,,1.0,1.0,20.0,0.22
125339-203716,Tristan Da Silva,tristan da silva,T. Silva,ORL,BKN,SF/PF,ORL@BKN,4000.0,$4000,17.86,5.91,4.46,24.0,28.22,0.97,0.97,49.22,10.24,3.53,1.0,0.78,0.18,1.0,116.0,1.01,1.01,295.0,0.21
125339-58377,Kyle Kuzma,kyle kuzma,K. Kuzma,MIL,GS,SF/PF,MIL@GS,4700.0,$4700,17.77,6.03,3.78,21.0,25.95,1.0,1.0,43.53,8.97,3.89,1.81,0.56,0.38,1.38,,1.0,1.0,764.0,0.21
125339-188413,Brice Sensabaugh,brice sensabaugh,B. Sensabaugh,UTA,,SG/SF,UTA@OKC,4800.0,$4800,17.56,6.01,3.66,20.0,25.49,1.05,1.05,45.23,10.18,2.99,1.61,0.76,0.18,1.47,,1.0,1.0,400.0,0.22
125339-145341,Isaac Okoro,isaac okoro,I. Okoro,CHI,DET,SF,CHI@DET,3900.0,$3900,17.52,6.01,4.49,25.5,28.4,1.01,1.01,54.86,9.62,2.56,1.49,0.55,0.57,0.78,110.2,0.97,0.95,168.0,0.21
125339-15846,Tim Hardaway Jr.,tim hardaway,T. Jr.,DEN,BOS,SG/SF,DEN@BOS,4200.0,$4200,17.46,5.03,4.16,26.0,27.45,1.01,1.01,54.14,12.07,2.15,1.48,0.29,0.0,0.29,114.2,1.0,0.99,268.0,0.21
125339-66046,Luke Kennard,luke kennard,L. Kennard,ATL,NO,PG/SG,NO@ATL,4100.0,$4100,17.4,5.88,4.24,21.5,27.53,1.08,1.08,49.49,8.83,2.29,2.73,0.85,0.05,0.98,,1.0,1.0,535.0,0.19
125339-207562,Spencer Jones,spencer jones,S. Jones,DEN,BOS,SF/PF,DEN@BOS,5000.0,$5000,17.38,6.41,3.48,25.79,25.13,1.01,1.01,53.72,7.87,3.18,1.2,1.1,0.47,0.82,114.2,1.0,0.99,221.0,0.2
125339-203798,Jamal Shead,jamal shead,J. Shead,TOR,CHA,PG/SG,TOR@CHA,4000.0,$4000,17.36,6.17,4.34,18.5,27.7,1.01,1.01,39.09,6.32,1.65,4.86,0.89,0.11,1.24,117.7,1.02,1.03,592.0,0.2
125339-171744,Christian Braun,christian braun,C. Braun,DEN,BOS,SG/SF,DEN@BOS,4500.0,$4500,17.27,5.84,3.84,24.0,26.36,1.01,1.01,50.57,8.24,3.42,2.19,0.6,0.26,0.93,114.2,1.0,0.99,27.0,0.22
125339-228128,Jase Richardson,jase richardson,J. Richardson,ORL,BKN,SG,ORL@BKN,3800.0,$3800,16.75,5.5,4.41,20.0,28.04,0.97,0.97,40.66,9.84,2.3,2.35,0.49,0.08,1.08,116.0,1.01,1.01,235.0,0.21
125339-55059,Clint Capela,clint capela,C. Capela,HOU,POR,C,HOU@POR,4400.0,$4400,16.66,6.31,3.79,15.0,25.85,0.97,0.97,29.73,4.49,5.97,0.66,0.7,0.84,0.59,116.2,1.01,1.02,184.0,0.21
125339-20640,Jordan Clarkson,jordan clarkson,J. Clarkson,NYK,NY,PG/SG,LAC@NY,3900.0,$3900,16.25,5.42,4.17,22.0,27.48,0.98,0.98,45.38,11.32,1.9,1.39,0.45,0.14,1.22,,1.0,1.0,361.0,0.22
125339-158854,Sam Hauser,sam hauser,S. Hauser,BOS,DEN,SF/PF,DEN@BOS,3900.0,$3900,15.93,5.55,4.09,22.0,27.28,1.01,1.01,46.0,7.64,3.63,1.21,0.55,0.33,0.51,115.4,1.0,1.01,692.0,0.19
125339-228111,Danny Wolf,danny wolf,D. Wolf,BKN,ORL,SF/PF,ORL@BKN,4500.0,$4500,15.72,5.57,3.49,20.0,25.19,0.97,0.97,39.76,7.63,3.7,1.99,0.53,0.15,1.36,112.8,0.99,0.98,242.0,0.21
125339-84694,Bruce Brown Jr.,bruce brown,B. Jr.,DEN,BOS,SG/SF,DEN@BOS,4700.0,$4700,14.39,5.63,3.06,19.0,23.68,1.01,1.01,39.82,5.83,3.4,1.6,0.82,0.17,0.89,114.2,1.0,0.99,305.0,0.21
125339-145328,Saddiq Bey,saddiq bey,S. Bey,NOP,ATL,SF/PF,NO@ATL,6200.0,$6200,14.16,4.93,2.28,13.89,19.92,1.08,1.08,32.36,7.65,2.95,1.17,0.49,0.03,0.32,115.6,1.01,1.01,,0.22
125339-188456,Rayan Rupert,rayan rupert,R. Rupert,POR,HOU,SG,HOU@POR,3700.0,$3700,13.78,5.3,3.72,25.0,26.58,0.97,0.97,51.9,5.49,3.9,1.35,0.62,0.16,0.74,112.9,0.99,0.98,173.0,0.21
125339-213259,Tolu Smith,tolu smith,T. Smith,DET,CHI,PF,CHI@DET,3500.0,$3500,13.64,5.1,3.9,8.71,26.39,1.01,1.01,18.65,5.83,4.18,1.03,0.32,0.32,0.64,117.6,1.02,1.03,15.0,0.22
125339-9453,Al Horford,al horford,A. Horford,GSW,GS,C,MIL@GS,3900.0,$3900,13.55,5.81,3.47,14.0,25.18,1.0,1.0,29.97,4.76,3.2,1.11,0.63,0.69,0.69,,1.0,1.0,331.0,0.21
125339-203795,Quinten Post,quinten post,Q. Post,GSW,GS,C,MIL@GS,4200.0,$4200,13.54,5.27,3.22,14.0,24.22,1.0,1.0,29.39,6.25,3.15,1.09,0.44,0.38,0.62,,1.0,1.0,623.0,0.21
125339-188446,Sidy Cissoko,sidy cissoko,S. Cissoko,POR,HOU,SG/SF,HOU@POR,4000.0,$4000,13.37,5.55,3.34,22.69,25.18,0.97,0.97,46.86,6.15,2.32,1.79,0.68,0.29,1.18,112.9,0.99,0.98,317.0,0.2
,A.J. Green,a j green,A. Green,MIL,GS,,,4000.0,$4000,13.23,5.06,3.31,24.0,25.14,1.0,1.0,49.08,6.86,2.2,1.62,0.59,0.08,0.69,,1.0,1.0,891.0,0.18
125339-84671,Trae Young,trae young,T. Young,ATL,NO,PG,NO@ATL,8500.0,$8500,12.78,4.88,1.5,9.09,16.73,1.08,1.08,22.44,7.09,0.52,3.19,0.36,0.04,0.93,,1.0,1.0,,0.22
125339-9809,Nicolas Batum,nicolas batum,N. Batum,LAC,NY,SF,LAC@NY,3800.0,$3800,12.65,5.59,3.33,22.0,25.22,0.98,0.98,43.99,4.95,2.66,0.87,0.83,0.44,0.61,,1.0,1.0,582.0,0.18
125339-85305,Kenrich Williams,kenrich williams,K. Williams,OKC,,PF,UTA@OKC,3700.0,$3700,11.47,4.75,3.1,11.51,23.98,1.05,1.05,25.12,4.91,2.52,1.51,0.53,0.05,0.48,,1.0,1.0,66.0,0.22
125339-15636,Kentavious Caldwell-Pope,kentavious caldwell pope,K. Caldwell-Pope,MEM,PHX,SG/SF,PHO@MEM,4000.0,$4000,11.29,4.82,2.82,12.78,22.95,1.02,1.02,27.75,5.6,1.4,2.0,0.49,0.11,0.78,113.7,0.99,0.99,471.0,0.21
125339-145330,Isaiah Joe,isaiah joe,I. Joe,OKC,,SG/SF,UTA@OKC,3900.0,$3900,11.15,4.49,2.86,12.75,23.13,1.05,1.05,28.85,6.69,1.75,0.95,0.38,0.08,0.46,,1.0,1.0,59.0,0.22
125339-203778,Kyle Filipowski,kyle filipowski,K. Filipowski,UTA,,PF/C,UTA@OKC,5500.0,$5500,10.9,4.65,1.98,10.95,18.93,1.05,1.05,24.44,4.66,3.06,1.06,0.28,0.27,0.67,,1.0,1.0,458.0,0.21
125339-228157,Kobe Sanders,kobe sanders,K. Sanders,LAC,NY,SG/SF,LAC@NY,4000.0,$4000,10.1,4.67,2.53,16.45,22.14,0.98,0.98,33.36,5.65,1.88,1.18,0.45,0.1,1.23,,1.0,1.0,421.0,0.2
125339-203732,DaRon Holmes II,daron holmes,D. II,DEN,BOS,PF/C,DEN@BOS,4200.0,$4200,10.06,4.33,2.39,16.0,21.53,1.01,1.01,30.12,4.7,1.46,2.06,0.0,0.36,0.56,114.2,1.0,0.99,87.0,0.21
125339-188457,Jordan Walsh,jordan walsh,J. Walsh,BOS,DEN,SG/SF,DEN@BOS,3900.0,$3900,9.98,4.74,2.56,10.96,21.99,1.01,1.01,22.08,3.76,2.74,0.52,0.54,0.29,0.34,115.4,1.0,1.01,517.0,0.19
125339-23716,Kyle Anderson,kyle anderson,K. Anderson,UTA,,SF,UTA@OKC,4400.0,$4400,9.94,4.98,2.26,8.69,20.47,1.05,1.05,19.52,3.8,1.52,1.35,0.7,0.24,0.54,,1.0,1.0,118.0,0.22
125339-188475,Oscar Tshiebwe,oscar tshiebwe,O. Tshiebwe,UTA,,C,UTA@OKC,3700.0,$3700,9.9,4.61,2.68,10.29,22.47,1.05,1.05,22.66,1.38,4.38,0.73,0.73,0.0,0.0,,1.0,1.0,14.0,0.22
125339-228129,Hugo Gonzalez,hugo gonzalez,H. Gonzalez,BOS,DEN,SG/SF,DEN@BOS,3800.0,$3800,9.77,4.78,2.57,12.66,22.19,1.01,1.01,26.11,3.44,2.9,0.56,0.63,0.21,0.51,115.4,1.0,1.01,378.0,0.19
125339-58153,Kelly Oubre,kelly oubre,K. Oubre,PHI,WSH,SG/SF,WAS@PHI,5100.0,$5100,9.76,4.44,1.91,11.35,18.95,1.03,1.03,24.19,5.72,1.68,0.41,0.33,0.29,0.41,,1.0,1.0,284.0,0.21
125339-203800,Branden Carlson,branden carlson,B. Carlson,OKC,,C,UTA@OKC,3900.0,$3900,9.61,4.33,2.46,9.0,21.53,1.05,1.05,20.12,4.84,2.16,0.58,0.16,0.38,0.31,,1.0,1.0,31.0,0.22
125339-84696,Jevon Carter,jevon carter,J. Carter,CHI,DET,PG,CHI@DET,3600.0,$3600,9.54,4.42,2.65,11.47,22.52,1.01,1.01,24.93,5.61,1.11,0.95,0.57,0.0,0.52,110.2,0.97,0.95,80.0,0.22
125339-188445,Jordan Miller,jordan miller,J. Miller,LAC,NY,SF,LAC@NY,3800.0,$3800,9.28,4.33,2.44,11.37,21.65,0.98,0.98,22.1,4.41,2.26,1.0,0.26,0.2,0.73,,1.0,1.0,135.0,0.21
125339-112709,Javonte Green,javonte green,J. Green,DET,CHI,SF,CHI@DET,3900.0,$3900,9.18,4.64,2.35,10.06,21.2,1.01,1.01,21.9,4.57,1.44,0.52,0.65,0.18,0.38,117.6,1.02,1.03,188.0,0.21
125339-188458,Jalen Pickett,jalen pickett,J. Pickett,DEN,BOS,PG,DEN@BOS,4900.0,$4900,8.93,4.06,1.82,10.78,18.69,1.01,1.01,22.72,4.39,1.56,1.62,0.18,0.11,0.64,114.2,1.0,0.99,142.0,0.22
125339-145308,Patrick Williams,patrick williams,P. Williams,CHI,DET,SF/PF,CHI@DET,3800.0,$3800,8.82,4.41,2.32,10.93,21.19,1.01,1.01,24.08,4.35,1.72,0.69,0.47,0.17,0.54,110.2,0.97,0.95,192.0,0.21
125339-157819,Corey Kispert,corey kispert,C. Kispert,WAS,PHI,SF,WAS@PHI,3700.0,$3700,8.72,3.96,2.36,10.6,21.36,1.03,1.03,24.23,5.1,1.31,0.96,0.24,0.09,0.4,113.3,0.99,0.98,184.0,0.21
125339-158373,Jose Alvarado,jose alvarado,J. Alvarado,NOP,ATL,PG,NO@ATL,4000.0,$4000,8.4,4.26,2.1,9.47,20.17,1.08,1.08,21.74,3.67,1.3,1.5,0.46,0.04,0.59,115.6,1.01,1.01,,0.22
125339-203780,Oso Ighodaro,oso ighodaro,O. Ighodaro,PHX,MEM,PF/C,PHO@MEM,4600.0,$4600,8.38,4.48,1.82,9.8,18.8,1.02,1.02,20.67,2.64,2.37,0.92,0.44,0.27,0.6,114.0,1.0,0.99,561.0,0.19
,Charles Bassey,charles bassey,C. Bassey,MEM,PHX,,,,,8.35,4.14,0.0,7.3,12.76,1.02,1.02,16.56,1.92,3.69,0.5,0.25,0.25,0.26,113.7,0.99,0.99,8.0,0.22
125339-171763,Dalen Terry,dalen terry,D. Terry,CHI,DET,SF,CHI@DET,3600.0,$3600,8.3,4.51,2.31,9.77,21.18,1.01,1.01,21.57,3.2,1.52,1.13,0.51,0.21,0.58,110.2,0.97,0.95,73.0,0.22
125339-171925,Dominick Barlow,dominick barlow,D. Barlow,PHI,WSH,PF/C,WAS@PHI,4200.0,$4200,8.15,4.31,1.94,9.61,19.47,1.03,1.03,20.82,3.22,2.01,0.61,0.35,0.31,0.39,,1.0,1.0,535.0,0.19
125339-110340,Jaxson Hayes,jaxson hayes,J. Hayes,LAL,SA,C,LAL@SA,3900.0,$3900,8.11,4.08,2.08,8.46,20.09,1.03,1.03,18.31,3.69,1.96,0.52,0.21,0.31,0.28,,1.0,1.0,139.0,0.21
125339-171785,Bryce McGowens,bryce mcgowens,B. McGowens,NOP,ATL,SG,NO@ATL,4000.0,$4000,8.0,3.94,2.0,9.43,19.8,1.08,1.08,22.11,4.64,1.19,0.66,0.36,0.06,0.33,115.6,1.01,1.01,61.0,0.22
125339-203724,Ryan Dunn,ryan dunn,R. Dunn,PHX,MEM,SF/PF,PHO@MEM,3800.0,$3800,7.9,4.32,2.08,8.55,20.16,1.02,1.02,18.06,2.91,1.98,0.69,0.45,0.23,0.44,114.0,1.0,0.99,510.0,0.2
125339-203766,Tidjane Salaun,tidjane salaun,T. Salaun,CHA,TOR,PF,TOR@CHA,3900.0,$3900,7.82,3.88,2.0,8.57,19.82,1.01,1.01,17.88,3.73,2.14,0.45,0.25,0.14,0.35,111.8,0.98,0.97,122.0,0.21
125339-188420,Nick Smith Jr.,nick smith,N. Jr.,LAL,SA,SG,LAL@SA,3600.0,$3600,7.49,3.57,2.08,9.55,20.35,1.03,1.03,20.4,5.47,0.36,1.09,0.18,0.0,0.58,,1.0,1.0,104.0,0.22
125339-15557,Andre Drummond,andre drummond,A. Drummond,PHI,WSH,C,WAS@PHI,4000.0,$4000,7.39,3.9,1.85,6.63,19.05,1.03,1.03,14.06,2.17,3.03,0.29,0.19,0.28,0.27,,1.0,1.0,450.0,0.2
125339-228106,Yang Hansen,yang hansen,Y. Hansen,POR,HOU,C,HOU@POR,3600.0,$3600,7.39,4.22,2.05,9.5,20.24,0.97,0.97,20.55,2.95,2.08,0.84,0.06,0.47,0.93,112.9,0.99,0.98,66.0,0.22
125339-188463,Julian Phillips,julian phillips,J. Phillips,CHI,DET,SF,CHI@DET,3600.0,$3600,7.33,4.27,2.04,9.74,20.19,1.01,1.01,21.4,3.23,1.3,0.27,0.56,0.21,0.2,110.2,0.97,0.95,89.0,0.21
125339-188423,Julian Strawther,julian strawther,J. Strawther,DEN,BOS,SF,DEN@BOS,3600.0,$3600,7.24,3.43,2.01,10.16,20.13,1.01,1.01,21.91,4.34,1.43,0.86,0.06,0.06,0.5,114.2,1.0,0.99,82.0,0.22
125339-228121,Yanic Konan Niederhauser,yanic konan niederhauser,Y. Niederhauser,LAC,NY,C,LAC@NY,3700.0,$3700,7.15,3.99,1.93,8.6,19.67,0.98,0.98,16.98,2.98,2.11,0.32,0.1,0.42,0.43,,1.0,1.0,83.0,0.21
125339-145324,Devin Vassell,devin vassell,D. Vassell,SAS,SA,SG/SF,LAL@SA,5100.0,$5100,7.08,3.68,1.39,8.25,16.79,1.03,1.03,18.02,3.98,1.08,0.65,0.23,0.13,0.25,,1.0,1.0,,0.22
