player,team_abbr,min_per100,pts_per100,reb_per100,ast_per100,stl_per100,blk_per100,tov_per100,name_key
Jalen Green,PHX,48.0,50.0,6.5,6.5,3.2,0.0,3.2,jalen green
Giannis Antetokounmpo,MIL,47.6,48.0,16.5,9.5,1.5,1.4,5.5,giannis antetokounmpo
Shai Gilgeous-Alexander,OKC,46.6,45.0,6.6,9.0,2.2,1.0,2.7,shai gilgeous alexander
Luka Dončić,LAL,47.4,43.9,10.7,11.4,2.0,0.8,5.8,luka doncic
Riley Minix,SAS,39.4,42.9,9.5,4.8,4.8,0.0,0.0,riley minix
Jaylen Brown,BOS,48.8,42.6,9.1,7.2,1.7,0.7,5.3,jaylen brown
Stephen Curry,GSW,46.2,41.4,5.7,6.2,1.7,0.7,4.5,stephen curry
Donovan Mitchell,CLE,46.1,40.4,6.3,7.5,2.0,0.4,4.3,donovan mitchell
Kawhi Leonard,LAC,49.2,40.3,9.4,5.0,3.1,0.9,3.0,kawhi leonard
Nikola Jokić,DEN,46.9,40.2,16.5,14.9,1.9,1.0,4.8,nikola jokic
Jalen Brunson,NYK,48.2,40.0,4.5,9.0,1.1,0.1,2.9,jalen brunson
Anthony Edwards,MIN,47.5,39.6,6.8,4.9,1.9,1.2,3.8,anthony edwards
Mark Sears,MIL,46.6,39.3,3.6,3.6,0.0,0.0,7.1,mark sears
Cam Thomas,BKN,47.9,38.7,2.5,4.9,0.7,0.2,3.3,cam thomas
Victor Wembanyama,SAS,47.0,38.5,18.5,5.3,1.3,4.6,5.1,victor wembanyama
Joel Embiid,PHI,47.0,38.3,11.4,5.3,1.2,2.3,4.3,joel embiid
Michael Porter Jr.,BKN,48.3,37.8,11.0,4.8,1.4,0.3,3.4,michael porter jr
Tyrese Maxey,PHI,47.7,37.0,5.2,8.5,2.1,1.0,3.1,tyrese maxey
Trentyn Flowers,CHI,50.5,36.4,9.1,9.1,0.0,0.0,9.1,trentyn flowers
Zion Williamson,NOP,45.6,36.4,9.3,5.4,1.9,0.8,4.1,zion williamson
James Harden,LAC,49.1,36.0,6.8,10.9,1.7,0.5,5.1,james harden
Austin Reaves,LAL,47.6,35.9,7.0,8.5,1.3,0.3,4.4,austin reaves
Lauri Markkanen,UTA,46.0,35.8,9.0,2.7,1.3,0.6,1.8,lauri markkanen
Devin Booker,PHX,47.3,35.2,5.8,8.7,1.4,0.6,4.7,devin booker
Cade Cunningham,DET,47.0,34.9,8.2,12.7,2.0,1.0,5.2,cade cunningham
Tolu Smith,DET,45.4,34.7,22.4,4.1,2.0,2.0,2.0,tolu smith
Norman Powell,MIA,45.4,34.6,5.7,4.0,1.9,0.4,2.8,norman powell
Kristaps Porziņģis,ATL,46.2,34.6,9.8,5.4,0.8,2.7,1.7,kristaps porzingis
Kevin Durant,HOU,48.6,34.5,6.7,5.8,1.1,1.3,4.2,kevin durant
Shaedon Sharpe,POR,45.9,34.0,6.9,3.7,2.4,0.3,4.8,shaedon sharpe
Jamal Murray,DEN,47.5,33.9,6.1,9.4,1.4,0.4,3.1,jamal murray
Deni Avdija,POR,46.3,33.4,9.5,9.1,1.1,0.8,5.2,deni avdija
Keyonte George,UTA,46.5,33.3,5.8,9.2,1.3,0.4,4.6,keyonte george
Tyler Herro,MIA,45.5,33.1,7.1,3.3,1.4,0.7,1.7,tyler herro
LaMelo Ball,CHA,46.3,33.1,8.6,13.5,1.9,0.4,6.0,lamelo ball
Pascal Siakam,IND,47.1,32.7,9.2,5.2,1.8,0.6,2.8,pascal siakam
Dillon Brooks,PHX,47.2,32.7,4.7,2.5,2.0,0.1,3.1,dillon brooks
Anthony Davis,DAL,47.3,32.4,17.2,4.4,2.0,2.5,2.8,anthony davis
Karl-Anthony Towns,NYK,47.5,31.8,17.0,4.3,1.2,1.0,3.6,karl anthony towns
Jonas Valančiūnas,DEN,49.4,31.5,17.3,4.6,0.8,2.3,4.2,jonas valanciunas
Franz Wagner,ORL,46.3,31.5,8.4,5.1,1.6,0.5,2.5,franz wagner
Aaron Gordon,DEN,47.4,31.4,9.9,2.2,1.3,0.4,2.3,aaron gordon
Alperen Sengun,HOU,48.8,31.1,12.9,9.3,2.1,1.4,4.8,alperen sengun
Brandon Ingram,TOR,48.3,31.1,8.3,5.3,1.0,0.9,4.0,brandon ingram
Jalen Johnson,ATL,45.7,31.1,13.4,10.8,1.8,0.6,4.5,jalen johnson
Coby White,CHI,45.3,31.0,5.1,7.6,1.1,0.0,4.7,coby white
De'Aaron Fox,SAS,46.1,31.0,5.2,8.6,2.0,0.4,3.7,de aaron fox
Julius Randle,MIN,46.9,31.0,9.7,8.1,1.6,0.2,3.5,julius randle
Ja Morant,MEM,44.8,30.5,5.1,11.7,1.5,0.3,5.7,ja morant
Brandon Miller,CHA,47.0,30.4,6.0,5.2,1.5,1.7,3.7,brandon miller
Jerami Grant,POR,45.9,30.2,6.1,4.0,1.1,0.9,3.3,jerami grant
Trae Young,ATL,43.8,30.2,2.3,13.9,1.6,0.2,4.1,trae young
Collin Sexton,CHA,47.9,30.0,4.2,8.5,1.4,0.4,4.5,collin sexton
Jalen Duren,DET,47.6,30.0,18.0,2.9,1.5,1.5,3.8,jalen duren
Chet Holmgren,OKC,47.0,30.0,13.1,2.5,0.9,2.8,3.2,chet holmgren
A.J. Lawson,TOR,49.7,29.8,12.8,0.0,2.1,4.3,0.0,a j lawson
Jimmy Butler III,GSW,47.3,29.5,8.3,7.4,2.0,0.3,2.4,jimmy butler iii
LeBron James,LAL,47.5,29.3,7.0,9.4,1.4,1.0,3.8,lebron james
RJ Barrett,TOR,46.8,29.2,7.7,5.8,1.1,0.3,2.3,rj barrett
Zach LaVine,SAC,47.1,29.0,4.3,3.3,1.1,0.3,3.2,zach lavine
Alex Sarr,WAS,46.6,28.9,13.4,4.8,1.3,3.8,2.9,alex sarr
Paolo Banchero,ORL,47.2,28.8,12.1,6.6,0.8,1.1,3.6,paolo banchero
Thanasis Antetokounmpo,MIL,45.5,28.6,7.9,0.0,4.8,4.8,1.6,thanasis antetokounmpo
Jordan Poole,NOP,45.8,28.4,3.3,5.5,1.1,0.6,2.6,jordan poole
Jaren Jackson Jr.,MEM,46.3,28.2,8.8,3.1,1.4,2.3,3.3,jaren jackson jr
Nickeil Alexander-Walker,ATL,45.3,28.2,4.6,4.5,1.3,0.9,2.9,nickeil alexander walker
Miles Bridges,CHA,47.6,28.2,8.8,5.4,0.8,0.8,2.0,miles bridges
CJ McCollum,WAS,46.6,27.9,5.1,5.5,1.1,0.4,2.4,cj mccollum
Johnny Juzang,MIN,43.5,27.6,9.2,4.6,1.1,0.0,1.1,johnny juzang
Kon Knueppel,CHA,47.3,27.5,7.3,5.1,1.0,0.3,3.4,kon knueppel
Kevin Porter Jr.,MIL,48.6,27.5,7.7,10.9,3.3,0.6,5.1,kevin porter jr
Stephon Castle,SAS,46.7,27.4,7.5,10.7,1.9,0.4,5.8,stephon castle
Marcus Sasser,DET,45.0,27.4,5.3,12.6,2.1,0.0,2.1,marcus sasser
Keldon Johnson,SAS,47.0,27.1,13.1,2.8,1.3,0.2,1.8,keldon johnson
Jalen Suggs,ORL,45.4,27.0,6.5,8.3,3.4,1.0,4.8,jalen suggs
Derrick White,BOS,49.3,27.0,6.3,7.6,2.0,2.2,2.8,derrick white
Anfernee Simons,BOS,48.9,27.0,4.6,4.7,1.1,0.3,2.0,anfernee simons
Trey Murphy III,NOP,46.4,26.9,8.0,4.5,2.1,0.3,2.5,trey murphy iii
Pete Nance,MIL,47.1,26.9,10.4,1.5,0.0,0.0,3.0,pete nance
Bennedict Mathurin,IND,47.4,26.8,8.0,3.1,1.0,0.3,3.5,bennedict mathurin
Josh Giddey,CHI,45.7,26.8,12.4,12.5,1.3,0.5,5.0,josh giddey
Bobby Portis,MIL,48.1,26.8,13.0,2.8,1.2,0.3,2.2,bobby portis
Jalen Williams,OKC,46.4,26.8,8.3,8.7,2.6,0.7,3.0,jalen williams
Scottie Barnes,TOR,47.6,26.7,12.1,7.4,1.9,2.1,3.6,scottie barnes
Desmond Bane,ORL,47.0,26.6,6.4,6.4,1.0,0.7,3.0,desmond bane
Bam Adebayo,MIA,46.2,26.5,14.2,3.7,1.5,1.3,2.8,bam adebayo
Paul George,PHI,47.4,26.5,8.7,5.5,2.2,0.7,3.1,paul george
Tristan Vukcevic,WAS,45.5,26.4,9.9,3.6,1.1,2.0,4.1,tristan vukcevic
Jamaree Bouyea,PHX,49.1,26.4,6.2,6.2,1.6,1.4,1.4,jamaree bouyea
Cooper Flagg,DAL,46.8,26.3,8.7,5.4,1.6,1.1,3.0,cooper flagg
DeMar DeRozan,SAC,47.0,26.2,4.9,5.3,2.0,0.4,1.5,demar derozan
Ryan Rollins,MIL,48.3,26.2,6.5,8.9,2.4,0.5,3.8,ryan rollins
Darius Garland,CLE,46.1,26.0,4.1,10.5,1.1,0.2,4.5,darius garland
T.J. McConnell,IND,45.5,25.9,6.7,12.7,3.0,0.6,3.2,t j mcconnell
Andrew Nembhard,IND,47.4,25.8,3.6,10.1,1.4,0.2,3.6,andrew nembhard
Evan Mobley,CLE,46.8,25.8,12.8,5.6,1.3,2.4,3.1,evan mobley
Dylan Harper,SAS,47.6,25.7,7.4,8.8,2.3,0.1,3.7,dylan harper
Mac McClung,IND,45.2,25.3,5.3,1.3,6.7,1.3,2.7,mac mcclung
Ajay Mitchell,OKC,46.2,25.3,6.3,6.4,2.6,0.6,2.6,ajay mitchell
Payton Pritchard,BOS,49.0,25.3,6.7,7.7,1.2,0.1,1.9,payton pritchard
Jaime Jaquez Jr.,MIA,45.4,25.1,8.3,7.3,1.1,0.3,3.3,jaime jaquez jr
Chris Livingston,CLE,48.4,25.0,8.3,2.8,2.8,0.0,0.0,chris livingston
DaRon Holmes II,DEN,47.7,25.0,8.3,1.4,0.0,1.4,1.4,daron holmes ii
Reed Sheppard,HOU,48.0,25.0,5.4,6.5,3.0,1.1,2.2,reed sheppard
Cam Spencer,MEM,47.1,24.9,4.9,9.7,1.6,0.1,2.9,cam spencer
Mark Williams,PHX,46.7,24.9,16.1,2.2,2.4,1.7,1.9,mark williams
Zach Edey,MEM,47.1,24.9,20.2,2.0,1.2,3.5,4.3,zach edey
Grayson Allen,PHX,47.4,24.9,4.2,6.3,2.5,0.3,2.6,grayson allen
D'Angelo Russell,DAL,46.3,24.9,5.7,9.7,1.2,0.2,4.6,d angelo russell
Jarrett Allen,CLE,45.5,24.8,13.5,3.6,1.7,1.4,2.9,jarrett allen
Jaden Ivey,DET,46.8,24.8,6.2,5.4,2.0,0.8,2.6,jaden ivey
Cam Whitmore,WAS,45.3,24.7,7.4,1.9,1.9,1.0,2.3,cam whitmore
Malik Monk,SAC,46.2,24.7,4.3,4.7,1.7,0.8,2.8,malik monk
Jeremiah Fears,NOP,46.5,24.7,6.1,5.4,2.1,0.2,3.9,jeremiah fears
Nikola Vučević,CHI,46.0,24.6,13.6,5.1,1.1,0.7,2.3,nikola vucevic
Anthony Black,ORL,47.3,24.6,6.6,5.6,2.1,1.0,3.6,anthony black
Naz Reid,MIN,46.6,24.5,11.0,4.1,1.6,1.4,2.6,naz reid
De'Andre Hunter,CLE,46.4,24.5,7.1,3.5,1.2,0.3,2.5,de andre hunter
Isaiah Joe,OKC,46.3,24.4,5.9,3.2,1.3,0.4,1.7,isaiah joe
Jordan Clarkson,NYK,47.6,24.2,4.5,3.5,1.1,0.4,2.7,jordan clarkson
Domantas Sabonis,SAC,46.7,24.2,17.3,5.2,1.7,0.3,3.6,domantas sabonis
Ayo Dosunmu,CHI,45.8,24.2,4.7,5.6,1.0,0.4,2.1,ayo dosunmu
Tari Eason,HOU,48.1,24.2,10.8,3.2,2.2,1.3,3.2,tari eason
Zach Collins,CHI,45.8,24.2,14.0,3.7,0.5,1.0,2.5,zach collins
Paul Reed,DET,45.3,24.2,16.8,4.2,3.2,2.9,4.0,paul reed
Immanuel Quickley,TOR,47.9,24.1,6.4,9.3,1.7,0.2,2.6,immanuel quickley
Nick Smith Jr.,LAL,47.7,23.9,3.5,3.7,1.7,0.4,2.9,nick smith jr
Jaden Hardy,DAL,45.5,23.9,5.5,2.6,1.0,0.3,3.2,jaden hardy
Deandre Ayton,LAL,47.9,23.8,13.9,1.4,1.3,1.6,3.0,deandre ayton
Derik Queen,NOP,46.7,23.8,12.7,7.3,1.9,1.7,4.2,derik queen
Kam Jones,IND,47.0,23.8,3.2,4.8,3.2,0.0,0.0,kam jones
Ivica Zubac,LAC,48.8,23.8,17.0,3.8,0.7,1.5,3.0,ivica zubac
Onyeka Okongwu,ATL,45.8,23.7,11.3,4.7,1.4,1.4,2.7,onyeka okongwu
Obi Toppin,IND,46.4,23.7,11.3,2.8,1.7,0.0,3.4,obi toppin
Marvin Bagley III,WAS,46.6,23.7,13.0,4.0,1.1,1.7,2.4,marvin bagley iii
Brandon Williams,DAL,46.0,23.7,5.2,8.1,2.5,0.5,3.8,brandon williams
Tre Johnson,WAS,45.6,23.7,5.5,3.2,0.9,0.8,2.8,tre johnson
Matas Buzelis,CHI,45.5,23.6,8.7,2.5,1.4,2.3,2.9,matas buzelis
Santi Aldama,MEM,46.0,23.6,11.0,4.9,1.6,1.2,2.2,santi aldama
Jeff Green,HOU,50.9,23.6,4.9,1.6,0.0,0.8,0.8,jeff green
Amen Thompson,HOU,48.8,23.6,9.8,7.1,1.7,0.7,3.5,amen thompson
Saddiq Bey,NOP,46.4,23.5,9.1,3.6,1.5,0.1,1.0,saddiq bey
Sandro Mamukelashvili,TOR,47.3,23.5,10.8,3.8,1.6,1.3,2.0,sandro mamukelashvili
Asa Newell,ATL,45.8,23.4,8.7,2.3,1.6,1.3,2.3,asa newell
Cedric Coward,MEM,45.7,23.4,10.9,4.9,0.9,0.5,2.7,cedric coward
Russell Westbrook,SAC,46.6,23.4,10.8,11.3,2.3,0.2,5.4,russell westbrook
Collin Gillespie,PHX,47.0,23.3,6.8,8.5,2.3,0.6,3.2,collin gillespie
Kyle Kuzma,MIL,47.6,23.3,8.8,4.0,1.3,1.0,3.2,kyle kuzma
Thomas Bryant,CLE,46.6,23.3,13.3,2.0,1.1,1.8,1.6,thomas bryant
Sam Merrill,CLE,45.6,23.3,4.0,4.4,1.2,0.3,1.6,sam merrill
Jalen Smith,CHI,45.4,23.3,16.1,3.4,0.8,1.9,2.3,jalen smith
Branden Carlson,OKC,47.0,23.2,9.9,2.8,0.6,2.2,1.7,branden carlson
Tim Hardaway Jr.,DEN,47.1,23.2,4.2,2.5,0.8,0.2,0.7,tim hardaway jr
Andrew Wiggins,MIA,45.5,23.1,6.8,4.2,1.6,1.6,2.3,andrew wiggins
Kel'el Ware,MIA,45.5,23.1,19.4,0.9,1.8,2.3,1.9,kel el ware
Jaylon Tyson,CLE,47.0,23.1,9.5,3.2,1.8,1.0,2.1,jaylon tyson
Tobias Harris,DET,47.0,23.0,7.8,4.2,1.0,0.4,1.7,tobias harris
Brice Sensabaugh,UTA,45.9,23.0,6.8,3.6,1.5,0.4,2.3,brice sensabaugh
Kelly Oubre Jr.,PHI,47.8,23.0,7.0,1.8,1.5,1.1,2.1,kelly oubre jr
John Collins,LAC,49.3,22.9,8.7,1.7,1.6,1.4,2.7,john collins
Aaron Nesmith,IND,46.4,22.9,7.6,2.4,1.4,0.8,1.1,aaron nesmith
Klay Thompson,DAL,45.0,22.9,5.2,2.6,0.9,0.7,1.7,klay thompson
Walker Kessler,UTA,49.0,22.9,17.2,4.8,2.2,2.9,5.1,walker kessler
Jrue Holiday,POR,45.7,22.8,7.2,11.3,2.2,0.3,4.0,jrue holiday
Noah Clowney,BKN,48.8,22.8,6.9,3.3,1.2,1.4,3.2,noah clowney
Jock Landale,MEM,46.4,22.8,12.2,3.4,1.1,1.1,2.2,jock landale
Luka Garza,BOS,48.1,22.7,13.3,3.0,0.9,1.5,1.5,luka garza
Aaron Holiday,HOU,47.8,22.7,3.1,3.2,1.1,0.4,2.8,aaron holiday
Jabari Smith Jr.,HOU,49.0,22.6,9.9,2.8,1.0,1.1,2.0,jabari smith jr
Jonathan Kuminga,GSW,47.6,22.6,11.9,4.9,0.5,0.6,4.7,jonathan kuminga
Maxime Raynaud,SAC,47.2,22.6,13.3,2.2,0.9,1.3,2.3,maxime raynaud
P.J. Washington,DAL,46.3,22.3,11.2,2.8,1.5,2.1,3.4,p j washington
Simone Fontecchio,MIA,45.2,22.2,7.2,4.1,1.1,0.4,2.3,simone fontecchio
OG Anunoby,NYK,47.0,22.2,7.9,3.0,2.7,1.1,2.9,og anunoby
Koby Brea,PHX,43.4,22.2,5.6,11.1,0.0,0.0,0.0,koby brea
Devin Vassell,SAS,47.0,22.1,5.9,3.6,1.3,0.7,1.4,devin vassell
Miles McBride,NYK,48.2,22.1,4.7,4.4,1.2,0.4,1.2,miles mcbride
Mikal Bridges,NYK,48.0,22.1,6.2,5.9,2.2,1.2,1.4,mikal bridges
Kevin Huerter,CHI,44.9,22.0,6.7,4.2,1.5,1.2,2.2,kevin huerter
Jaden McDaniels,MIN,47.5,22.0,6.8,4.0,1.5,1.3,2.7,jaden mcdaniels
Jase Richardson,ORL,47.5,22.0,6.2,5.7,1.6,0.2,2.7,jase richardson
Kyshawn George,WAS,46.5,21.9,8.3,7.4,1.5,1.3,4.6,kyshawn george
Nic Claxton,BKN,48.8,21.9,12.5,6.9,1.3,2.1,2.5,nic claxton
Dennis Schröder,SAC,47.4,21.9,5.9,10.0,1.4,0.3,3.5,dennis schroder
Aaron Wiggins,OKC,47.0,21.8,5.7,3.6,1.3,1.0,2.3,aaron wiggins
Naji Marshall,DAL,46.3,21.8,7.7,4.2,1.7,0.1,2.0,naji marshall
Quenton Jackson,IND,45.5,21.7,6.5,5.6,1.7,0.2,3.7,quenton jackson
Quentin Grimes,PHI,47.4,21.7,5.6,6.3,1.4,0.6,3.4,quentin grimes
VJ Edgecombe,PHI,48.1,21.7,7.4,5.4,1.8,0.6,2.3,vj edgecombe
Jacob Toppin,ATL,45.6,21.6,2.7,2.7,0.0,2.7,0.0,jacob toppin
Bones Hyland,MIN,46.2,21.6,4.7,7.4,1.9,0.8,2.9,bones hyland
Yanic Konan Niederhäuser,LAC,50.0,21.5,11.2,2.0,0.8,2.4,2.8,yanic konan niederhauser
Caleb Love,POR,45.8,21.5,5.6,5.0,1.2,0.3,2.3,caleb love
Jevon Carter,CHI,45.7,21.5,4.3,3.7,2.4,0.0,2.0,jevon carter
Jordan Miller,LAC,50.4,21.4,10.3,3.9,1.1,1.1,3.2,jordan miller
Kevin McCullar Jr.,NYK,47.5,21.4,11.2,5.1,2.0,0.0,5.1,kevin mccullar jr
Brandin Podziemski,GSW,47.0,21.4,7.6,5.5,1.8,0.3,2.6,brandin podziemski
PJ Hall,CHA,45.2,21.3,14.7,2.7,0.7,1.3,2.0,pj hall
Caleb Houstan,ATL,45.6,21.3,5.3,2.1,1.1,1.1,4.3,caleb houstan
Daniss Jenkins,DET,46.2,21.2,5.2,8.5,2.6,0.1,3.8,daniss jenkins
Jett Howard,ORL,47.6,21.2,5.9,3.6,0.8,0.6,1.0,jett howard
Eric Gordon,PHI,47.3,21.2,1.3,1.9,2.6,0.6,1.9,eric gordon
Malaki Branham,WAS,47.5,21.2,9.3,4.0,0.7,0.3,3.0,malaki branham
Pat Spencer,GSW,48.2,21.2,7.1,9.6,2.3,0.1,2.8,pat spencer
Jaylen Wells,MEM,46.8,21.0,6.1,3.1,1.6,0.2,1.8,jaylen wells
Ausar Thompson,DET,47.9,21.0,10.6,4.8,2.8,1.3,2.8,ausar thompson
Isaiah Stewart,DET,47.2,21.0,12.0,2.3,0.4,4.0,2.5,isaiah stewart
Tyrese Proctor,CLE,47.5,21.0,5.7,5.8,1.3,0.0,1.8,tyrese proctor
Day'Ron Sharpe,BKN,48.4,21.0,16.6,6.5,2.7,1.3,4.7,day ron sharpe
Myles Turner,MIL,47.8,20.9,9.0,2.7,1.3,2.7,1.6,myles turner
Vít Krejčí,ATL,46.8,20.8,4.3,3.2,1.4,0.6,1.5,vit krejci
Emanuel Miller,CHI,45.9,20.8,4.2,5.6,2.8,0.0,0.0,emanuel miller
Jamison Battle,TOR,47.5,20.8,8.2,2.2,1.0,0.2,1.9,jamison battle
Tre Jones,CHI,44.7,20.8,4.8,8.7,2.4,0.4,2.2,tre jones
Tre Mann,CHA,48.3,20.7,7.1,6.5,1.5,0.3,4.2,tre mann
Brook Lopez,LAC,49.8,20.7,7.8,2.4,1.0,2.9,2.7,brook lopez
E.J. Liddell,BKN,47.2,20.6,13.2,0.0,0.0,0.0,0.0,e j liddell
David Jones Garcia,SAS,43.3,20.6,7.7,11.6,3.9,0.6,3.2,david jones garcia
Corey Kispert,WAS,45.0,20.6,5.5,4.1,1.0,0.4,1.4,corey kispert
DeAndre Jordan,NOP,53.0,20.5,22.7,0.0,0.0,0.0,2.3,deandre jordan
Landry Shamet,NYK,46.3,20.5,4.4,2.7,0.9,0.4,1.0,landry shamet
Nae'Qwan Tomlin,CLE,48.2,20.4,9.2,2.0,2.3,2.1,1.1,nae qwan tomlin
Antonio Reeves,CHA,51.5,20.4,4.9,1.9,1.0,0.0,0.0,antonio reeves
Pat Connaughton,CHA,47.3,20.4,9.3,3.0,1.9,0.4,1.1,pat connaughton
Moses Moody,GSW,46.6,20.4,6.4,3.0,1.8,1.4,1.9,moses moody
Cole Anthony,MIL,46.6,20.3,8.0,11.4,2.0,0.9,5.9,cole anthony
Trendon Watford,PHI,46.2,20.2,10.5,8.1,1.0,0.5,3.4,trendon watford
Neemias Queta,BOS,49.7,20.2,15.5,3.1,1.6,2.5,1.7,neemias queta
Dalton Knecht,LAL,47.7,20.2,6.5,1.7,1.0,1.1,1.2,dalton knecht
Ace Bailey,UTA,46.0,20.0,6.3,3.0,1.4,0.7,2.4,ace bailey
Hunter Dickinson,NOP,47.2,20.0,0.0,0.0,0.0,10.0,20.0,hunter dickinson
Donte DiVincenzo,MIN,47.2,20.0,6.6,6.1,1.9,0.7,1.9,donte divincenzo
Kevin Love,UTA,46.1,20.0,14.1,4.9,1.0,1.0,1.9,kevin love
Quinten Post,GSW,47.5,20.0,10.8,3.8,1.5,1.5,2.1,quinten post
Zaccharie Risacher,ATL,45.3,19.9,5.5,2.7,1.8,1.0,1.6,zaccharie risacher
Danny Wolf,BKN,48.3,19.9,10.0,4.7,1.0,0.5,3.8,danny wolf
Bradley Beal,LAC,49.2,19.9,2.0,4.1,1.2,0.0,3.7,bradley beal
Nikola Jović,MIA,44.2,19.8,9.0,7.0,1.4,0.7,4.1,nikola jovic
Derrick Jones Jr.,LAC,48.8,19.8,4.7,2.3,1.7,2.2,1.5,derrick jones jr
Isaiah Hartenstein,OKC,47.5,19.8,18.3,5.2,2.0,1.3,3.7,isaiah hartenstein
Buddy Hield,GSW,46.4,19.8,6.6,3.8,2.1,0.3,2.8,buddy hield
Jordan Goodwin,PHX,48.1,19.7,10.5,4.7,3.3,0.4,2.8,jordan goodwin
Leonard Miller,MIN,42.5,19.7,10.2,3.1,1.6,0.0,3.9,leonard miller
Kyle Filipowski,UTA,46.0,19.7,12.9,4.5,1.1,1.1,2.4,kyle filipowski
Olivier-Maxence Prosper,MEM,44.8,19.6,8.5,3.4,0.7,0.2,2.2,olivier maxence prosper
Egor Dëmin,BKN,48.4,19.6,6.2,6.9,1.8,0.6,3.8,egor demin
Caris LeVert,DET,46.9,19.6,4.1,6.5,2.0,1.3,3.2,caris levert
Josh Hart,NYK,48.4,19.5,12.8,8.1,2.2,0.5,3.4,josh hart
Harrison Barnes,SAS,47.3,19.5,5.4,3.5,1.5,0.2,1.8,harrison barnes
Julian Strawther,DEN,46.5,19.4,6.3,2.8,0.3,0.3,2.2,julian strawther
Will Richard,GSW,46.7,19.4,6.7,2.8,2.6,0.2,1.8,will richard
