player,team_abbr,min_per100,pts_per100,reb_per100,ast_per100,stl_per100,blk_per100,tov_per100,name_key
Max Christie,DAL,46.9,19.4,5.6,3.5,0.8,0.7,1.9,max christie
Tidjane Salaün,CHA,48.0,19.4,11.8,2.6,1.6,0.7,1.7,tidjane salaun
Seth Curry,GSW,44.6,19.4,5.6,4.2,2.8,0.0,0.0,seth curry
Keegan Murray,SAC,48.1,19.3,8.0,1.9,1.8,2.1,1.4,keegan murray
Doug McDermott,SAC,45.7,19.3,3.7,0.9,0.0,0.9,1.8,doug mcdermott
Wendell Carter Jr.,ORL,47.2,19.2,11.8,3.1,1.1,1.1,2.0,wendell carter jr
Peyton Watson,DEN,47.2,19.2,8.0,2.4,1.7,1.7,2.2,peyton watson
Harrison Ingram,SAS,41.4,19.2,11.5,0.0,0.0,0.0,0.0,harrison ingram
Tyrese Martin,BKN,48.7,19.1,7.6,5.7,1.6,0.3,2.6,tyrese martin
De'Anthony Melton,GSW,48.0,19.1,5.2,5.0,4.2,1.5,3.5,de anthony melton
Tristan da Silva,ORL,46.9,19.1,8.0,2.4,1.5,0.5,1.8,tristan da silva
Mohamed Diawara,NYK,44.9,19.0,7.3,4.3,2.3,1.0,2.3,mohamed diawara
Jamal Cain,ORL,46.3,19.0,4.5,2.0,2.0,0.5,2.0,jamal cain
Donovan Clingan,POR,46.5,19.0,18.4,3.0,0.9,2.5,1.6,donovan clingan
Anthony Gill,WAS,44.9,18.9,10.0,0.0,0.0,1.1,4.4,anthony gill
Ziaire Williams,BKN,48.1,18.9,5.4,1.5,1.9,1.0,2.3,ziaire williams
Kenrich Williams,OKC,47.9,18.8,9.5,6.1,2.0,0.2,2.2,kenrich williams
Pelle Larsson,MIA,45.2,18.8,5.4,6.7,1.1,0.5,1.9,pelle larsson
Ronald Holland II,DET,46.5,18.8,8.7,3.4,3.2,0.5,3.0,ronald holland ii
Bryce McGowens,NOP,46.0,18.7,5.2,3.6,1.4,0.4,1.1,bryce mcgowens
Isaiah Jackson,IND,46.7,18.7,15.1,2.1,1.9,2.1,2.9,isaiah jackson
Jay Huff,IND,46.5,18.7,9.3,3.2,0.8,5.5,2.0,jay huff
Ron Harper Jr.,BOS,47.0,18.6,7.0,9.3,2.3,4.7,0.0,ron harper jr
Rui Hachimura,LAL,47.4,18.6,5.5,1.3,0.9,0.3,1.2,rui hachimura
Cam Christie,LAC,50.0,18.5,9.3,3.0,1.5,0.5,1.5,cam christie
Garrison Mathews,IND,46.1,18.4,4.0,2.4,1.4,0.7,0.7,garrison mathews
Jordan McLaughlin,SAS,45.2,18.4,4.8,5.8,3.4,0.0,1.9,jordan mclaughlin
Trey Alexander,NOP,49.2,18.4,5.3,5.3,1.3,1.3,1.3,trey alexander
Walter Clayton Jr.,UTA,46.1,18.4,5.5,8.8,1.3,0.6,3.1,walter clayton jr
Cameron Johnson,DEN,47.9,18.3,5.6,3.7,1.0,0.4,1.5,cameron johnson
Christian Braun,DEN,47.7,18.3,7.0,4.8,1.3,0.4,2.1,christian braun
Josh Green,CHA,49.2,18.3,5.6,3.5,2.5,0.0,1.1,josh green
Kelly Olynyk,SAS,47.2,18.3,10.3,7.0,2.0,0.0,3.0,kelly olynyk
Duncan Robinson,DET,46.9,18.3,4.5,3.1,1.2,0.5,0.9,duncan robinson
Khris Middleton,WAS,46.3,18.2,7.5,6.3,1.4,0.7,2.8,khris middleton
KJ Simpson,CHA,48.4,18.2,6.3,7.6,3.3,0.0,5.2,kj simpson
Karlo Matković,NOP,45.9,18.2,13.2,3.3,0.6,2.6,2.0,karlo matkovic
Tyler Kolek,NYK,46.7,18.2,6.4,10.7,1.7,0.4,3.1,tyler kolek
Jakob Poeltl,TOR,47.0,18.1,14.3,4.0,1.4,1.0,2.9,jakob poeltl
Daniel Gafford,DAL,46.2,18.0,13.2,2.2,1.9,3.3,3.3,daniel gafford
Gradey Dick,TOR,46.2,18.0,5.3,2.0,2.1,0.3,1.4,gradey dick
Rasheer Fleming,PHX,47.1,18.0,8.1,1.1,1.8,1.5,1.1,rasheer fleming
Julian Champagnie,SAS,46.7,17.9,9.5,2.3,1.5,0.8,1.7,julian champagnie
Jalen Wilson,BKN,48.7,17.9,3.6,1.9,0.9,0.0,1.7,jalen wilson
Josh Minott,BOS,49.5,17.9,11.1,3.1,2.2,1.1,1.8,josh minott
Jusuf Nurkić,UTA,45.6,17.8,17.1,7.8,2.3,0.7,4.6,jusuf nurkic
Robert Williams III,POR,46.8,17.8,18.6,2.6,1.7,4.1,1.7,robert williams iii
Bilal Coulibaly,WAS,47.0,17.8,8.4,4.6,2.4,1.7,3.2,bilal coulibaly
Collin Murray-Boyles,TOR,48.2,17.8,11.1,3.7,1.9,1.3,3.1,collin murray boyles
GG Jackson,MEM,46.6,17.8,9.2,2.0,3.2,1.7,1.4,gg jackson
Rob Dillingham,MIN,46.5,17.7,5.6,8.5,2.6,0.5,4.3,rob dillingham
Ryan Nembhard,DAL,47.8,17.7,4.2,12.1,0.7,0.0,3.7,ryan nembhard
Drew Eubanks,SAC,47.2,17.6,9.4,1.0,1.5,2.1,2.9,drew eubanks
Tony Bradley,IND,47.0,17.6,11.6,2.3,0.5,0.6,1.9,tony bradley
Will Riley,WAS,47.4,17.6,7.1,4.4,1.5,0.4,2.1,will riley
Jose Alvarado,NOP,47.2,17.6,5.6,6.7,2.2,0.3,2.6,jose alvarado
Bogdan Bogdanović,LAC,49.6,17.6,6.3,5.9,1.1,0.1,2.6,bogdan bogdanovic
Jared McCain,PHI,46.5,17.6,6.4,4.5,2.3,0.0,2.3,jared mccain
Matisse Thybulle,POR,42.8,17.5,3.5,2.6,8.8,0.0,0.9,matisse thybulle
Toumani Camara,POR,46.7,17.5,7.2,3.9,1.5,0.6,2.9,toumani camara
Kentavious Caldwell-Pope,MEM,46.5,17.5,4.9,7.0,1.7,0.5,2.8,kentavious caldwell pope
Liam McNeeley,CHA,47.9,17.4,8.6,3.4,0.8,0.3,1.7,liam mcneeley
Kyle Anderson,UTA,46.8,17.4,6.7,8.1,3.8,0.9,2.6,kyle anderson
Duop Reath,POR,45.5,17.4,4.9,1.9,1.2,0.9,1.6,duop reath
Jordan Walsh,BOS,49.8,17.3,11.6,2.4,2.6,1.4,1.6,jordan walsh
Isaac Okoro,CHI,46.3,17.3,5.0,2.7,1.0,1.1,1.4,isaac okoro
AJ Green,MIL,47.7,17.3,4.4,3.4,1.1,0.2,1.4,aj green
Noah Penda,ORL,46.6,17.3,15.6,4.8,1.3,1.3,2.9,noah penda
Svi Mykhailiuk,UTA,46.5,17.2,4.8,3.7,1.1,0.2,1.6,svi mykhailiuk
Devin Carter,SAC,44.5,17.2,6.2,6.2,2.9,1.0,3.8,devin carter
Gary Payton II,GSW,46.8,17.1,11.6,6.8,2.2,1.4,3.2,gary payton ii
Jarace Walker,IND,45.5,17.1,8.6,3.5,1.1,0.7,3.2,jarace walker
Jaxson Hayes,LAL,47.8,17.1,11.0,2.8,1.0,1.7,1.5,jaxson hayes
Gui Santos,GSW,47.9,17.1,10.7,3.7,1.7,0.6,3.9,gui santos
Ousmane Dieng,OKC,48.9,17.0,6.9,3.4,0.2,1.1,1.4,ousmane dieng
RayJ Dennis,ATL,45.6,17.0,6.1,6.9,0.8,1.1,4.0,rayj dennis
Marcus Smart,LAL,47.5,16.9,4.5,5.0,2.5,0.6,2.9,marcus smart
Gary Trent Jr.,MIL,47.6,16.9,2.4,2.8,1.5,0.1,1.2,gary trent jr
Trayce Jackson-Davis,GSW,46.6,16.9,13.3,3.8,1.3,2.7,2.0,trayce jackson davis
Precious Achiuwa,SAC,47.1,16.9,12.7,2.6,1.8,1.0,1.0,precious achiuwa
Jae'Sean Tate,HOU,48.6,16.9,8.5,3.6,1.3,1.0,1.3,jae sean tate
Taylor Hendricks,UTA,45.5,16.8,9.8,2.0,1.3,0.9,1.1,taylor hendricks
Andre Drummond,PHI,48.4,16.8,21.4,2.0,1.3,2.1,2.1,andre drummond
Rudy Gobert,MIN,47.8,16.7,16.6,2.8,0.9,2.5,2.0,rudy gobert
Tyson Etienne,BKN,47.8,16.7,0.0,1.4,0.0,0.0,1.4,tyson etienne
Isaiah Collier,UTA,45.6,16.6,4.4,13.1,1.3,0.7,4.8,isaiah collier
Goga Bitadze,ORL,46.2,16.6,14.2,3.8,1.9,3.6,1.7,goga bitadze
Blake Wesley,POR,45.0,16.5,6.4,8.7,4.6,0.5,3.2,blake wesley
Nick Richards,PHX,48.4,16.5,17.4,1.6,0.6,2.7,4.7,nick richards
Clint Capela,HOU,49.1,16.5,20.6,1.9,1.7,2.9,2.1,clint capela
Moussa Diabaté,CHA,48.5,16.5,16.9,2.7,1.7,1.9,1.7,moussa diabate
Herbert Jones,NOP,47.3,16.5,6.2,4.0,2.8,0.5,2.2,herbert jones
Royce O'Neale,PHX,46.7,16.5,7.9,4.4,2.0,0.3,2.5,royce o neale
Dru Smith,MIA,44.4,16.4,6.6,7.0,4.0,0.8,2.4,dru smith
Jahmir Young,MIA,39.9,16.4,3.3,6.6,1.6,0.0,3.3,jahmir young
Justin Champagnie,WAS,47.3,16.4,15.4,2.6,2.2,1.4,1.0,justin champagnie
Terrence Shannon Jr.,MIN,46.3,16.4,4.6,2.3,1.1,0.2,2.5,terrence shannon jr
Luke Kennard,ATL,46.7,16.3,4.7,5.3,1.7,0.1,2.1,luke kennard
Ja'Kobe Walter,TOR,47.6,16.3,5.6,2.3,2.6,0.3,1.6,ja kobe walter
Brandon Clarke,MEM,41.7,16.3,12.2,2.0,4.1,0.0,0.0,brandon clarke
Jordan Hawkins,NOP,47.0,16.3,5.5,2.7,0.4,0.4,1.7,jordan hawkins
Jake LaRavia,LAL,47.5,16.3,7.7,3.6,2.5,0.8,2.0,jake laravia
Javonte Green,DET,46.1,16.3,6.8,2.1,3.1,0.9,1.6,javonte green
Bub Carrington,WAS,46.2,16.2,6.6,7.4,0.7,0.3,3.7,bub carrington
Drake Powell,BKN,48.8,16.1,4.7,5.1,2.0,0.4,2.9,drake powell
Patrick Williams,CHI,45.4,16.1,7.0,3.0,1.9,0.7,2.2,patrick williams
Sam Hauser,BOS,48.1,16.1,7.8,2.8,1.2,0.7,1.3,sam hauser
Keshad Johnson,MIA,43.9,16.0,11.1,0.3,1.7,1.4,1.0,keshad johnson
Jeremy Sochan,SAS,47.5,16.0,10.0,4.0,1.5,0.6,2.6,jeremy sochan
Ryan Kalkbrenner,CHA,46.6,15.8,11.7,1.1,1.3,3.3,2.1,ryan kalkbrenner
Vince Williams Jr.,MEM,47.0,15.8,9.1,10.5,1.8,1.2,4.6,vince williams jr
Dyson Daniels,ATL,46.4,15.7,8.9,8.0,2.7,0.6,3.1,dyson daniels
Dominick Barlow,PHI,47.2,15.7,9.9,3.2,1.7,1.5,1.9,dominick barlow
Kobe Sanders,LAC,48.0,15.6,5.2,3.5,1.6,0.3,3.2,kobe sanders
Alex Caruso,OKC,46.2,15.6,7.7,5.1,3.9,0.9,2.3,alex caruso
Kobe Brown,LAC,49.1,15.4,8.6,4.4,1.5,0.4,2.1,kobe brown
Ben Saraf,BKN,48.1,15.4,4.5,8.1,1.9,0.7,5.5,ben saraf
Josh Okogie,HOU,49.6,15.3,6.7,2.3,2.6,0.5,2.0,josh okogie
Justin Edwards,PHI,46.4,15.3,5.1,3.7,2.1,0.7,2.2,justin edwards
Kris Dunn,LAC,49.1,15.2,5.4,5.3,2.9,0.3,2.3,kris dunn
Jamal Shead,TOR,47.4,15.1,4.2,12.3,2.3,0.3,3.1,jamal shead
Guerschon Yabusele,NYK,47.1,15.1,10.3,2.1,0.5,0.7,2.1,guerschon yabusele
Luke Kornet,SAS,46.1,15.1,12.7,3.8,0.7,2.6,1.0,luke kornet
Ryan Dunn,PHX,47.9,15.1,10.6,3.9,2.6,1.3,2.4,ryan dunn
Mouhamed Gueye,ATL,46.7,15.0,10.2,2.6,1.8,1.9,1.7,mouhamed gueye
Chaz Lanier,DET,45.5,15.0,4.7,3.3,1.3,0.0,0.3,chaz lanier
Micah Potter,IND,45.4,15.0,7.5,6.8,0.0,1.4,1.4,micah potter
Al Horford,GSW,46.8,14.9,10.2,4.1,2.2,2.2,2.3,al horford
Jabari Walker,PHI,46.9,14.9,12.5,1.8,0.6,1.1,1.8,jabari walker
Keaton Wallace,ATL,47.4,14.9,4.9,9.0,2.2,0.5,2.7,keaton wallace
Lindy Waters III,SAS,45.8,14.8,6.2,2.1,1.6,0.0,0.4,lindy waters iii
Kasparas Jakučionis,MIA,45.2,14.8,5.8,2.9,2.2,0.0,1.8,kasparas jakucionis
Xavier Tillman,BOS,49.4,14.8,11.5,2.4,2.9,1.0,1.9,xavier tillman
Chris Youngblood,OKC,47.8,14.7,7.8,2.3,0.4,0.0,0.4,chris youngblood
Draymond Green,GSW,46.8,14.7,10.3,9.0,1.5,1.4,5.2,draymond green
Terance Mann,BKN,48.7,14.6,6.5,6.9,1.4,0.5,2.0,terance mann
Jaylen Clark,MIN,46.9,14.6,6.4,1.6,2.6,0.5,1.3,jaylen clark
Nique Clifford,SAC,46.8,14.5,7.5,3.5,1.5,0.7,2.7,nique clifford
Joan Beringer,MIN,42.6,14.5,13.7,0.0,0.8,4.0,2.4,joan beringer
Johnny Furphy,IND,46.6,14.5,8.5,1.0,1.6,0.0,1.6,johnny furphy
Bruce Brown,DEN,47.7,14.4,8.2,4.1,1.8,0.5,2.1,bruce brown
Hugo González,BOS,48.9,14.4,10.5,2.1,2.6,0.9,2.3,hugo gonzalez
Orlando Robinson,ORL,50.6,14.3,8.2,6.1,2.0,0.0,0.0,orlando robinson
Micah Peavy,NOP,46.9,14.3,6.9,2.9,1.7,0.2,1.1,micah peavy
Davion Mitchell,MIA,46.1,14.3,3.9,11.4,1.9,0.1,2.4,davion mitchell
Myron Gardner,MIA,41.4,14.3,10.4,2.6,1.3,0.0,0.0,myron gardner
Bobi Klintman,DET,44.4,14.3,13.4,3.4,1.7,0.0,4.2,bobi klintman
JD Davison,HOU,50.8,14.3,2.9,8.0,2.3,1.1,2.9,jd davison
Keon Ellis,SAC,46.8,14.2,3.6,1.8,3.3,1.3,1.3,keon ellis
Javon Small,MEM,44.2,14.1,4.7,11.6,0.4,0.4,3.6,javon small
Yang Hansen,POR,45.0,14.1,10.6,4.2,0.3,1.9,4.5,yang hansen
Luguentz Dort,OKC,47.1,14.0,6.0,1.9,1.4,1.0,1.2,luguentz dort
Jaylin Williams,OKC,46.6,13.9,12.0,6.2,1.7,1.2,2.5,jaylin williams
Curtis Jones,DEN,46.8,13.8,10.3,3.4,0.0,0.0,3.4,curtis jones
Yves Missi,NOP,47.0,13.8,14.1,2.8,0.9,3.2,2.4,yves missi
Spencer Jones,DEN,47.6,13.7,6.2,2.3,2.1,0.8,1.6,spencer jones
Craig Porter Jr.,CLE,46.5,13.7,9.5,7.1,2.7,1.6,2.0,craig porter jr
Carter Bryant,SAS,46.5,13.7,9.8,1.0,1.0,0.5,2.2,carter bryant
Jahmai Mashack,MEM,47.4,13.6,11.4,4.5,2.3,0.0,6.8,jahmai mashack
Jalen Pickett,DEN,46.5,13.6,6.5,6.5,0.6,0.6,2.4,jalen pickett
Moussa Cisse,DAL,46.1,13.6,15.9,0.7,1.2,4.6,3.2,moussa cisse
Cason Wallace,OKC,46.8,13.6,5.2,4.0,3.6,0.4,1.5,cason wallace
Isaac Jones,DET,49.3,13.5,5.4,2.7,0.0,0.0,0.0,isaac jones
Steven Adams,HOU,48.7,13.4,19.0,3.1,1.5,1.3,2.4,steven adams
Ochai Agbaji,TOR,47.9,13.3,6.9,2.4,1.4,0.6,0.8,ochai agbaji
Sidy Cissoko,POR,46.4,13.3,5.0,3.4,1.3,0.5,2.7,sidy cissoko
Ethan Thompson,IND,48.9,13.3,5.2,4.4,1.4,0.8,1.7,ethan thompson
Taurean Prince,MIL,45.8,13.3,3.5,2.2,1.6,0.5,1.4,taurean prince
Colby Jones,DET,45.4,13.3,26.7,13.3,0.0,0.0,0.0,colby jones
Jonathan Isaac,ORL,47.2,13.2,13.1,0.6,1.9,2.3,1.6,jonathan isaac
Khaman Maluach,PHX,46.7,12.8,9.4,1.3,0.0,4.0,4.7,khaman maluach
Julian Phillips,CHI,45.4,12.8,6.2,1.4,2.0,1.0,0.6,julian phillips
Taelon Peter,IND,46.7,12.7,7.3,5.4,1.2,0.8,3.5,taelon peter
Ben Sheppard,IND,46.2,12.6,7.4,3.5,1.1,0.2,1.2,ben sheppard
Jarred Vanderbilt,LAL,48.1,12.6,13.7,3.2,2.3,0.8,3.4,jarred vanderbilt
Nolan Traore,BKN,47.2,12.6,3.4,6.1,1.5,0.8,3.4,nolan traore
Monte Morris,IND,44.9,12.5,4.9,6.3,0.7,0.7,1.4,monte morris
Luke Travers,CLE,45.6,12.4,10.6,4.0,3.1,1.8,1.3,luke travers
Hunter Tyson,DEN,43.8,12.4,13.3,2.7,0.9,0.0,0.0,hunter tyson
Sion James,CHA,47.7,12.3,5.9,3.0,1.2,0.8,1.5,sion james
Oso Ighodaro,PHX,47.9,12.3,10.9,4.5,2.0,1.3,3.0,oso ighodaro
Hunter Sallis,PHI,45.0,12.3,1.8,7.0,0.0,1.8,8.8,hunter sallis
Jeremiah Robinson-Earl,IND,46.2,12.2,13.6,1.8,1.1,0.2,1.5,jeremiah robinson earl
Mike Conley,MIN,46.6,12.2,4.4,7.4,1.6,0.6,1.4,mike conley
Elijah Harkless,UTA,46.7,12.1,4.3,3.5,2.8,0.0,2.1,elijah harkless
Jamir Watkins,WAS,47.4,12.0,10.0,1.8,1.2,0.9,1.5,jamir watkins
Dalen Terry,CHI,45.7,12.0,7.3,5.4,2.8,1.2,2.8,dalen terry
Zeke Nnaji,DEN,46.8,11.9,7.8,1.4,1.2,1.2,2.0,zeke nnaji
Dean Wade,CLE,46.4,11.8,8.3,3.3,1.5,0.8,0.5,dean wade
Mitchell Robinson,NYK,47.9,11.8,22.7,2.8,2.2,3.0,2.0,mitchell robinson
Dereck Lively II,DAL,45.0,11.7,14.5,5.1,1.6,4.3,3.9,dereck lively ii
Johni Broome,PHI,46.2,11.6,15.1,4.7,2.3,0.0,2.3,johni broome
Baylor Scheierman,BOS,49.2,11.3,7.2,2.8,1.8,0.3,1.6,baylor scheierman
Adou Thiero,LAL,48.2,11.1,10.0,2.8,2.8,0.6,2.2,adou thiero
Nicolas Batum,LAC,48.7,11.1,6.3,1.8,2.0,1.0,1.5,nicolas batum
Larry Nance Jr.,CLE,46.8,11.1,8.8,3.9,1.8,0.8,1.8,larry nance jr
Adem Bona,PHI,47.0,11.0,10.6,0.7,1.0,4.3,1.9,adem bona
John Konchar,MEM,46.4,10.9,9.6,4.4,3.1,1.1,1.1,john konchar
Kris Murray,POR,46.3,10.8,7.3,2.1,2.0,0.6,1.7,kris murray
Andre Jackson Jr.,MIL,46.9,10.6,5.8,8.2,2.4,1.0,2.9,andre jackson jr
AJ Johnson,WAS,48.6,10.4,4.9,4.9,0.7,0.0,3.5,aj johnson
Gabe Vincent,LAL,47.4,10.4,1.9,3.2,1.1,0.2,0.9,gabe vincent
Charles Bassey,MEM,44.9,10.3,22.1,2.9,1.5,1.5,1.5,charles bassey
Dylan Cardwell,SAC,47.3,10.3,13.2,2.3,2.6,4.7,2.1,dylan cardwell
James Wiseman,IND,46.0,10.2,6.3,2.4,0.0,0.8,3.9,james wiseman
Jericho Sims,MIL,48.5,10.2,12.7,2.1,0.7,0.6,3.4,jericho sims
Lonzo Ball,CLE,45.6,10.2,8.2,8.9,2.7,0.5,3.2,lonzo ball
Rayan Rupert,POR,46.5,10.2,8.0,2.4,1.3,0.4,1.8,rayan rupert
Tyus Jones,ORL,47.6,10.1,3.4,7.1,2.1,0.2,0.9,tyus jones
Cody Williams,UTA,45.3,10.1,4.5,2.2,0.7,0.6,1.3,cody williams
Chris Paul,LAC,48.8,10.1,6.0,11.4,2.4,0.0,3.4,chris paul
Javonte Cooke,POR,43.8,10.0,4.3,7.1,1.4,0.0,5.7,javonte cooke
Mason Plumlee,CHA,47.3,9.9,15.2,6.1,2.3,0.0,3.4,mason plumlee
Dwight Powell,DAL,45.5,9.9,10.5,3.3,1.7,1.2,1.6,dwight powell
Chris Boucher,BOS,49.8,9.9,9.9,1.6,2.7,3.8,0.5,chris boucher
Trey Jemison III,NYK,45.6,9.6,12.3,1.4,0.0,1.4,4.1,trey jemison iii
Jonathan Mogbo,TOR,44.8,9.4,10.9,4.3,1.4,2.2,0.7,jonathan mogbo
Bronny James,LAL,47.4,9.4,3.2,7.7,2.9,0.3,3.9,bronny james
Dorian Finney-Smith,HOU,46.9,9.3,5.2,2.1,1.0,1.0,1.0,dorian finney smith
Gary Harris,MIL,48.5,9.3,4.6,3.2,2.0,0.5,1.5,gary harris
N'Faly Dante,ATL,46.7,9.1,21.2,0.0,6.1,0.0,3.0,n faly dante
Isaiah Livers,PHX,46.7,8.9,8.9,2.8,1.8,1.5,1.8,isaiah livers
Brooks Barnhizer,OKC,47.1,8.9,11.1,2.8,0.9,0.6,0.9,brooks barnhizer
Amir Coffey,MIL,46.9,8.9,4.4,2.2,0.0,0.3,0.6,amir coffey
Drew Timme,LAL,47.9,8.7,13.0,13.0,4.3,0.0,4.3,drew timme
Kevon Looney,NOP,46.8,8.6,15.7,5.5,1.0,1.7,1.4,kevon looney
Nigel Hayes-Davis,PHX,47.9,8.5,7.7,1.9,1.9,0.3,1.9,nigel hayes davis
Ariel Hukporti,NYK,46.8,7.5,12.8,2.9,1.0,2.7,2.9,ariel hukporti
Caleb Martin,DAL,44.8,7.5,7.1,4.9,2.0,0.7,1.9,caleb martin
Maxi Kleber,LAL,48.2,7.3,6.8,2.8,1.0,1.3,1.8,maxi kleber
Garrett Temple,TOR,47.9,7.0,7.0,5.3,5.3,1.8,5.3,garrett temple
Daeqwon Plowden,SAC,48.3,6.9,6.9,0.0,0.0,0.0,0.0,daeqwon plowden
Wendell Moore Jr.,DET,47.8,6.7,4.4,3.3,2.2,1.1,1.1,wendell moore jr
Bismack Biyombo,SAS,46.9,6.6,5.1,2.2,2.2,0.7,2.2,bismack biyombo
Miles Kelly,DAL,36.3,6.5,12.9,0.0,0.0,0.0,3.2,miles kelly
Kyle Lowry,PHI,44.4,6.3,3.1,7.3,1.0,0.0,2.1,kyle lowry
Cody Martin,IND,46.4,5.9,11.8,1.7,3.4,1.7,3.4,cody martin
Dario Šarić,SAC,48.5,5.9,7.1,2.4,0.0,0.0,2.4,dario saric
Pacôme Dadiet,NYK,45.1,5.0,8.8,5.0,1.3,0.0,0.0,pacome dadiet
Christian Koloko,MEM,45.8,4.6,8.8,2.3,2.8,2.8,0.0,christian koloko
Amari Williams,BOS,46.9,4.5,10.6,1.5,1.5,3.0,0.0,amari williams
Drew Peterson,CHA,49.1,3.8,6.9,1.5,2.3,0.8,0.0,drew peterson
Lachlan Olbrich,CHI,47.3,2.6,14.5,3.9,0.0,0.0,2.6,lachlan olbrich
Jahmyl Telfort,LAC,47.8,1.5,4.5,1.5,1.5,0.0,1.5,jahmyl telfort
Noa Essengue,CHI,40.2,0.0,0.0,0.0,6.7,0.0,0.0,noa essengue
Chris Mañon,LAL,49.2,0.0,11.5,0.0,3.8,7.7,0.0,chris manon
Alijah Martin,TOR,59.1,0.0,0.0,0.0,9.1,0.0,0.0,alijah martin
Joe Ingles,MIN,39.9,0.0,0.0,9.0,1.5,0.0,1.5,joe ingles
Chucky Hepburn,TOR,50.9,0.0,3.8,7.7,3.8,0.0,3.8,chucky hepburn
Mo Bamba,TOR,43.0,0.0,0.0,0.0,0.0,10.0,0.0,mo bamba
Vladislav Goldin,MIA,45.6,0.0,0.0,50.0,0.0,0.0,0.0,vladislav goldin
Tosan Evbuomwan,NYK,42.9,0.0,11.1,0.0,0.0,0.0,0.0,tosan evbuomwan
Isaiah Crawford,HOU,51.3,0.0,0.0,0.0,0.0,0.0,0.0,isaiah crawford
Sharife Cooper,WAS,55.0,0.0,0.0,0.0,0.0,0.0,5.6,sharife cooper
